Video Id,Title,View Count,Length,Channel
GytW_rgr0RM,David Archuleta: GLORIOUS from Meet the Mormons,15 797 244 katselukertaa,2.59,/@MeettheMormons
gPKpkrqBwNs,"Come, Thou Fount of Every Blessing (2011) | The Tabernacle Choir",15 168 871 katselukertaa,6.13,/channel/UCiAkukrUIRCwaLaFx_MJq7Q
OKkLV1zE8M0,2012 Tony Awards - Book of Mormon Musical Opening Number - Hello,14 766 778 katselukertaa,4.13,/@kevinprice1207
C2arm5ydeJc,Amazing Grace | The Tabernacle Choir,13 718 572 katselukertaa,6.34,/channel/UCiAkukrUIRCwaLaFx_MJq7Q
GVJgmp2Tc2s,I Believe from the Book of Mormon Musical on the 65th Tony Awards.,13 520 301 katselukertaa,5.24,/@kevinprice1207
vqORJHyNWJc,"One Man, Six Wives And 29 Children: A Polygamous Family | Real Stories Full-Length Documentary",12 615 235 katselukertaa,49.34,/@RealStories
JOrcqqpHCt8,I Am a Child of God,10 028 405 katselukertaa,2.55,/@churchofjesuschrist
PKsr49csFYk,"Nearer, My God, to Thee",9 559 463 katselukertaa,3.49,/@churchofjesuschrist
E22550E16EA,Karen Falsely Accused Me!,8 549 160 katselukertaa,16.11,/@JiDion
LpIyaIHsJbc,The Mexican Mormon War (Drug Cartels vs. Mormons Full Length),7 468 052 katselukertaa,41.07,/@VICE
BBZ7AfZR9xs,"Hallelujah Chorus, from Messiah | The Tabernacle Choir",6 765 345 katselukertaa,4.04,/channel/UCiAkukrUIRCwaLaFx_MJq7Q
aTMsfOcHiJg,Why I Left The Mormon Church,6 412 093 katselukertaa,23.23,/@johnnyharris
r0mckI8Xfl8,Ex Mormon Gives Most Incredible Testimony EVER! Will Give You Chills!,4 430 918 katselukertaa,17.07,/@kassiewest
wAmORmrxbUM,LDS missionary sends it,4 402 549 katselukertaa,0.51,/@rickytoole6631
yAqNe-m0a8s,"""Battle Hymn of the Republic"" w/ the Mormon Tabernacle Choir LIVE from West Point | West Point Band",4 374 525 katselukertaa,4.51,/@BandWestPoint
Znzx2HXY8fo,"Where Justice, Love, and Mercy Meet",4 018 968 katselukertaa,5.37,/@churchofjesuschrist
bYg4of6CDuY,The sin next to murder in Mormonism #lds #mormon #christian,3 822 238 katselukertaa,1.00,/@mormonstories
VngM80qCOJw,Hidden camera footage of Mormon temple ritual,3 720 151 katselukertaa,6.38,/@NewNameNoah
ckLqfX62u_I,Adele - Hello (Missionary Parody),3 713 275 katselukertaa,5.15,/@josephsmith7830
n3BqLZ8UoZk,Banned Mormon Cartoon - EXTENDED VERSION,3 139 182 katselukertaa,8.42,/@JeremiahFilms
