Video Id,Title,View Count,Length,Channel
FFyaqbAn-cA,MOROCCO TRAVEL DOCUMENTARY | The Grand Moroccan Roadtrip,1 994 084 katselukertaa,1.29.46,/@LucasTJahn
P0Lr81WCiVU,Thousands Dead in Morocco’s Largest Earthquake in Decades | WSJ,1 382 741 katselukertaa,1.48,/@wsj
E_zgtZi-YFc,Video show the moment a 6.8-magnitude earthquake strikes Morocco,799 586 katselukertaa,0.57,/@NBCNews
QipIufCH3rw,Morocco 4K - Scenic Relaxation Film With Calming Music,770 969 katselukertaa,1.00.38,/@ScenicRelaxationFilms
na4EYvWJgt4,People rush to safety as rare earthquake hits Morocco – CCTV,705 248 katselukertaa,0.35,/@guardiannews
4M2oOaBhBlQ,Morocco: A Country Of Captivating Colors And Cultures | Somewhere On Earth,335 467 katselukertaa,51.37,/@TRACKSTravelDocs
dtSMn73TmY8,"Earthquake in Morocco kills at least 296 people, government reports",187 995 katselukertaa,0.23,/@KHOU
4nIkTM82MQ8,"Morocco earthquake: death toll rises above 2,000",363 479 katselukertaa,12.15,/@Channel4News
aufb9YmXHFs,Morocco earthquake: What we know so far - BBC Africa,73 568 katselukertaa,1.27,/@BBCAfrica
VzV9i5AOBsA,MOROCCO TRAVEL (2023) | 10 Beautiful Places To Visit In Morocco (+ Itinerary Suggestions),188 932 katselukertaa,11.58,/@worldwildhearts
a_QMLisjQsY,"CASABLANCA, MOROCCO: A CITY OF CONTRASTS | Morocco’s RAWEST City 🇲🇦",902 620 katselukertaa,20.58,/@Malini.Angelica
ecF-fsfLnc0,Why Morocco's earthquake was so deadly | About That,76 314 katselukertaa,6.07,/@CBCNews
FDFGZgbZRYA,"Morocco earthquake: 1,000+ dead, video shows moments 6.8 magnitude quake hit | LiveNOW from FOX",373 356 katselukertaa,2.58,/@livenowfox
KrQIlwWLB1k,Morocco earthquake: drone footage shows scale of destruction in village of Moulay Brahim,221 819 katselukertaa,0.54,/@guardiannews
nGnRRy6L0jw,Morocco earthquake: Streets reduced to rubble in Marrakech region,245 850 katselukertaa,1.05,/@guardiannews
aK4C7M0hAnk,"More than 1,000 dead in 6.8-magnitude quake in Morocco",64 555 katselukertaa,13.07,/@CBCNews
riBT1S64Vmg,At least 296 people killed after powerful earthquake strikes Morocco,192 203 katselukertaa,0.31,/@ABC7Chicago
DjJhWnzml_s,"25 Moroccan STREET FOODS Across Morocco!! FES Kebabs, MARRAKESH Tagine + SAHARA Couscous",2 406 006 katselukertaa,41.43,/@LukeMartin
UU3FxbRSa_M,The Best of The Mountains of Morocco | Part One | Gordon Ramsay: Uncharted,1 284 885 katselukertaa,17.05,/@gordonramsayuncharted4603
nJPu7kgPdaM,"Morocco earthquake death toll surpasses 2,000",49 140 katselukertaa,1.35,/@CBSSundayMorning
