Video Id,Title,View Count,Length,Channel
A8wGcIBz9iA,near - karna su sayang  ft Dian Sorowea [ official lyric video ],145 058 178 katselukertaa,3.20,/channel/UCmzmf5q3bN_wnRhkvSBWx1A
lsuqa9U3wik,Open Shut Them #4 | Super Simple Songs,70 157 949 katselukertaa,2.16,/@SuperSimpleSongs
gRj18Tk0j_Q,HAVING YOU NEAR ME - Air Supply (KARAOKE VERSION),68 723 183 katselukertaa,4.22,/@CoversPH
0jhpekne4TI,"Gunfire Erupts Near Hollywood, Florida, Beach on Memorial Day",56 577 643 katselukertaa,0.09,/@nowthisnews
7YuqH4lAxcw,Near Disc Golf Ace from Ridiculous Wind Bounce! 🌬 🥏,49 946 756 katselukertaa,0.10,/@DiscGolfUnited
_WlXYpwbF1M,WHEN THE REAL BRO IS NEAR 👍🏻❤️,47 554 891 katselukertaa,0.29,/@dednahype
bN4Qv7W6w4M,Last village of India near Pakistan🇵🇰 border,41 128 449 katselukertaa,1.00,/@maniacroushan
3jg6rb1nn4c,BENCH PRESS NEAR DEATH EXPERIENCE,40 737 570 katselukertaa,0.45,/@William_Li
a7_LxdrIeF4,Neutron star near the Moon(not real)#shorts,40 581 252 katselukertaa,0.09,/@meteorshorts
dvsvJ4T90gY,Texas pilot ejects from F-35B near White Settlement,38 576 709 katselukertaa,0.37,/@Wfaa8
sAMKe_cHbtw,HAVING YOU NEAR ME (Lyrics) By:Air Supply,38 305 360 katselukertaa,4.08,/@myfavoritesongcollection2518
z_6GOFw1XrQ,KARNA SU SAYANG - Near feat Dian Sorowea (Reggae SKA Version  By NIKISUKA),37 306 755 katselukertaa,4.55,/@UYEtone
5rpgzB6dLdc,Mother is walking near the railway track and centy train is approaching fast | London Train Station,34 609 852 katselukertaa,0.04,/@ShivaniRaghavGaurish
_taahcqYv_A,Baby playing near the railway track and train is approaching fast | Centy Train | Kerata Api #train,24 962 474 katselukertaa,0.04,/@ShivaniRaghavGaurish
BLYSM4-u1xM,"CRASHES, Fails & Near-Misses - Leaving A Car Show & More! 2020",24 082 351 katselukertaa,17.35,/@AdamC3046
TYe2tkXgPqs,WARSHIP Hit By Monster Wave Near Antarctica [4K],22 356 802 katselukertaa,0.59,/@LicetStudios
j-ruLgFZNb8,"near - ""jaga rasa [cover HLF]"" ft Jay, Cindy  (Lyric Video)",21 837 538 katselukertaa,3.41,/channel/UCmzmf5q3bN_wnRhkvSBWx1A
dmbpagijVkk,Lee Mack's Joke Leaves John Cleese In Near Tears | The Graham Norton Show,21 220 227 katselukertaa,2.49,/@OfficialGrahamNorton
DhtYllyLx9w,Air Supply - Having You Near Me (lyrics),18 735 545 katselukertaa,4.05,/@a1clouds540
fdgGAW793Rk,jaga orang pu jodoh - near x lhc makassar x hlf (lyrics),18 081 977 katselukertaa,5.18,/channel/UCmzmf5q3bN_wnRhkvSBWx1A
