Video Id,Title,View Count,Length,Channel
nceqQyqIa5o,Lil Mosey - Noticed (Directed by Cole Bennett),293 437 620 katselukertaa,2.53,/@lyricalemonade
F9Ay74LfKd4,Moe Shop - Notice (w/ TORIENA),15 243 613 katselukertaa,3.10,/@MoeShopMusic
HGyvTaCrsmo,Lil Mosey - Noticed (Lyrics),23 181 918 katselukertaa,2.45,/@futurehype
461LEvi1KXA,Little Mix - Notice (Audio),3 387 541 katselukertaa,3.37,/channel/UCIvqWqjC4aLvp7zI8hzARrA
OvCD_ClaMVw,Notice,6 615 288 katselukertaa,3.43,/channel/UCr7r9JorcxMDOC5ZQ_ZCs3w
DVtyusX2F-w,Skeete - Notice Me (Official Music Video),1 404 246 katselukertaa,3.34,/channel/UCVE0Ou-DCW6rNXYonXKXK0A
vHZgnlZho50,Migos - Notice Me ft. Post Malone (Audio),67 654 451 katselukertaa,3.56,/channel/UC9YcTIQuhwgoOQqYMKYqW9A
S3vCDQ8HQ5A,Ada Ehi - Notice | BORN OF GOD,399 415 katselukertaa,3.03,/channel/UCpM0LdoSSvRgW-AqBTOhKow
9vMskIqWz5M,Christian Akridge - Please Notice [Lyrics],2 343 416 katselukertaa,1.57,/@christianakridgelyrics2377
fxk4Cyl8KtQ,Christian Leave - Please Notice (Lyrics),317 822 katselukertaa,1.58,/@thegoodvibeMusic
3gyvHFBa5B0,"""Noticed"" - Five Nights at Freddy's song by MandoPony",17 983 300 katselukertaa,4.27,/channel/UCfYV42dBZipAMNdcF1eYZBw
dBSfeMXhgug,Little Mix ~ Notice ~ Lyrics,618 336 katselukertaa,3.35,/@SBBSQProduction
d5HnmWR8JIQ,SZA - Notice Me (Audio),1 471 767 katselukertaa,2.43,/channel/UCO5IQ70V7l-XpHW40HwaGsw
GPVoSf7bWkE,Lil Mosey - Noticed,7 079 366 katselukertaa,3.09,/channel/UCZ3FuC9xpPnSErHJqMg5_EQ
MwMKxcKcCfc,"Fivio Foreign - Notice Me (Feat. Tata, Jenn Carter & Kyle Richh) [Official Video]",3 463 519 katselukertaa,4.05,/channel/UCm7gu9KfQ6oAg0Z1halgEnA
pRxmXcyZc-0,Notice Me,894 056 katselukertaa,3.30,/channel/UC52OnlZcHd_ajoTiqcskrvg
x0jn1FQ17ds,PNB Rock - Notice Me [Official Music Video],14 369 776 katselukertaa,3.43,/channel/UC52OnlZcHd_ajoTiqcskrvg
HsLss4kJurA,Notice by Thomas Rhett with Lyrics,57 826 katselukertaa,3.43,/@markguerinnn
CLdNXoCf1dE,Not3s - Notice [Music Video] | GRM Daily,3 485 947 katselukertaa,3.53,/@Grmdaily
8QYbOfPkzvk,LIL MOSEY NOTICED LIVE 😳🔥,3 255 864 katselukertaa,0.15,/@musicmediaco
