Video Id,Title,View Count,Length,Channel
NJ_rJXjwpA8,"'We will find you, turn yourself in' | Police: Dallas officer shot after seeing shooting, responding",1 774 katselukertaa,3.34,/@Wfaa8
Pd0a4tVDfYs,WATCH: Cop Caught HYSTERICALLY Laughing About Pedestrian Killed By Officer,25 008 katselukertaa,13.36,/@TheYoungTurks
qXdGM8XlMhE,Press conference Iowa police officer fatally shot [RAW],13 252 katselukertaa,9.53,/@fox9
LWn7lZYymfU,VIDEO: Police officer laughs at 26-year-old woman's death,15 910 katselukertaa,5.46,/@fox26houston
DfdBFZbS3yo,Bodycam records officer laughing about police crash that killed pedestrian,76 239 katselukertaa,4.50,/@NBCNews
4oo7Y7LkC_M,Seattle Police Officer Laughed About Dead Woman He Claimed 'Had Limited Value' | 10 News First,498 katselukertaa,1.37,/@10NewsFirst
rwkvANLOlBc,"Algona police officer Kevin Cram shot, killed: Watch full news conference",1 955 katselukertaa,8.34,/@KCCI
uVBIQKZNQhg,Fears of Victorian police officer mass exodus | 9 News Australia,1 460 katselukertaa,2.00,/@9NewsAUS
h0k2w1FxIUc,'She had limited value': Seattle officer investigated over bodycam comments,51 533 katselukertaa,2.15,/@NBCNews
76GtOgcTwss,Activists call for consequences after officer heard laughing after deadly hit-and-run,9 917 katselukertaa,2.10,/@fox13seattle
e2_LT9Y5-d8,"LIVE: Algona Police Department, Iowa DPS press conference after police officer shot",1 500 katselukertaa,30.37,/@WeAreIowa
MHIyqNBSNec,Thornton Police Officer Shoots Burglary Suspect Who Fired Gun at Him,348 632 katselukertaa,3.33,/@PoliceActivity
5DNS0XemSV8,Seattle police officer laughs about woman struck and killed by patrol car in bodycam video,46 558 katselukertaa,0.30,/@theindependent
Q0ArPPF18to,Officer caught on bodycam laughing over death of grad student struck by another cop,2 776 katselukertaa,1.44,/@ABC7
n7PjrrLaK5w,SPD officer laughs about woman fatally hit by patrol car,58 030 katselukertaa,1.34,/@fox13seattle
ZaKUz6dCiLs,House Explosion Sends Police Officer to the Ground #shorts,141 028 katselukertaa,0.22,/@InsideEdition
ifT2bDIbmVQ,"VIDEO: A Mother Training To Be A Police Officer, Shot And Killed By Instructor | TSR Investigates",136 375 katselukertaa,6.53,/@THESHADEROOM
ET7sffBc624,WATCH | Former East Cleveland police officer sentenced for role in scheme to steal from residents,1 543 katselukertaa,2.40.47,/@WKYCChannel3
QaNlIgBPD_8,Dramatic dashcam video shows the moment when a police officer saved an infant who was choking!,4 353 802 katselukertaa,0.30,/@ABC13Houston
IZaUNReIfTY,Police officer ambushed: Body camera video shows south Phoenix standoff shooting; 9 officers shot,932 969 katselukertaa,0.27,/@Fox10Phoenix
