Video Id,Title,View Count,Length,Channel
7iNbnineUCI,The Offspring - The Kids Aren't Alright (Official Music Video),257 925 156 katselukertaa,3.00,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
qmLFxe7Nppg,Best of #Offspring ~ #The Offspring Greatest Hits Full Album,683 715 katselukertaa,2.09.59,/@goodmusicc
Abrn8aVQ76Q,"The Offspring - ""Self Esteem""",88 701 586 katselukertaa,4.26,/@epitaph
Q-tVeCMM0fA,The Offspring - Smash (Full Album),2 579 385 katselukertaa,46.46,/@HardcoreKilling001
ql9-82oV2JE,"The Offspring - You're Gonna Go Far, Kid (Official Music Video)",100 557 709 katselukertaa,3.17,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
LH-i8IvYIcg,The Offspring - Why Don't You Get A Job? (Official Music Video),96 498 450 katselukertaa,3.12,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
40V9_1PMUGM,The Offspring - Gone Away,43 743 822 katselukertaa,4.30,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
QtTR-_Klcq8,The Offspring - Pretty Fly (For A White Guy) (Official Music Video),67 915 529 katselukertaa,3.13,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
DJUx410ju_o,Thе Оffsрring Аmеricаnа (Full Album),4 210 699 katselukertaa,43.41,/@vlad7548
HwRL1LNVTLI,The Offspring - Hit That (Official Music Video),41 550 970 katselukertaa,3.01,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
_g19fCJotPc,The Offspring - Want You Bad (Official Music Video),87 952 189 katselukertaa,3.23,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
1jOk8dk-qaU,"The Offspring - ""Come Out And Play""",39 304 107 katselukertaa,3.15,/@epitaph
us8OhI-OTHg,The Offspring - All I Want (Official Music Video),24 344 785 katselukertaa,1.56,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
fejPNjwlNYo,Thе Оffsрring Grеаtеst Нits (Full Album),3 232 903 katselukertaa,54.44,/@vlad7548
g-BXxX1x4y8,The Offspring Smash Full Album,4 144 744 katselukertaa,40.08,/@cengizhantore7854
Qp6Qn8IwPf8,The Offspring - Original Prankster (Official Music Video),47 448 044 katselukertaa,3.41,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
J6vpedfGPwY,The Offspring - Let The Bad Times Roll (Official Music Video),7 115 201 katselukertaa,3.20,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
C6jz1hewTzA,"The Offspring - ""Gotta Get Away""",12 274 247 katselukertaa,4.17,/@epitaph
f5pCYU3k360,The Offspring - Million Miles Away,15 227 168 katselukertaa,3.40,/channel/UCP3EX5VKeaG4Oa2qTKPuEFA
