Video Id,Title,View Count,Length,Channel
fWNaR-rxAic,Carly Rae Jepsen - Call Me Maybe,1 560 406 145 katselukertaa,3.20,/channel/UC-4NAdFIP6h9BmtGUFL94Pg
KRaWnd3LJfs,Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video),850 158 132 katselukertaa,4.40,/channel/UCBVjMGOIkavEAhyqpxJ73Dw
JI-5kh_4gO0,TuTiTu Toys | Phone,519 135 381 katselukertaa,3.09,/@tutitutv
EVBsypHzF3U,Lady Gaga - Telephone ft. Beyoncé (Official Music Video),452 980 417 katselukertaa,9.31,/channel/UCNL1ZadSjHpjm4q9j2sVtOA
u7A5J_l-wBc,Jio Phone vs iphone🙂😘 #shorts #ytshorts,438 294 540 katselukertaa,0.15,/@AjaKitchen
ycyryfTLDdY,Top New Funniest Comedy Video 😂 Most Watch Viral Funny Video 2022 Episode 84 By my family,389 500 445 katselukertaa,9.49,/@MYFAMILYComedy
oiY_iKSpWLM,Kevin Gates - 2 Phones [Official Music Video],336 229 507 katselukertaa,4.24,/channel/UCj2GTFekdV3EUsTVN8oaEqA
47Fbo4kU2AU,Soulja Boy Tell'em - Kiss Me Thru The Phone ft. Sammie,286 067 624 katselukertaa,3.15,/channel/UCbpqhOEGlI-1lS4GfAeV2vA
JmldzBlJAjM,Custom Epoxy Phone Case #Shorts,245 859 494 katselukertaa,1.00,/@KomarProject
UNgwa7OekXA,Tui Tui Funny Video 😆tui tui best comedy😆tui tui Funny💪tui tui Must Watch Special new video,244 728 024 katselukertaa,9.39,/@busyfunltd9692
lLgfMZ9ad_I,He DROPPED my phone again and AGAIN!!! #lensun #screenprotector #phoneaccessories #phoneprotector,237 342 162 katselukertaa,0.29,/@Lensun
op06w5q4mDc,RAINBOW SQUISHY PHONE CASE FOR BORED KIDS 🌈📱 || #SHORTS,224 482 227 katselukertaa,0.54,/@5MinuteCraftsRecycle
N-R61Xc3_Ew,He Broke Her Phone?? The Fixing at The End #shorts,224 116 633 katselukertaa,0.58,/@skitsshorts
zEm4uhXxc0A,Nastya and the magic phone,218 454 218 katselukertaa,3.28,/@LikeNastya_Show
zzd4ydafGR0,Lil Tjay - Calling My Phone (feat. 6LACK) [Official Video],198 146 817 katselukertaa,3.22,/channel/UCEB4a5o_6KfjxHwNMnmj54Q
C3ap6S4mAco,Phone Maar Di | Official Music Video | Gurnam Bhullar Ft. MixSingh | Sukh Sanghera | Songs 2018,184 288 659 katselukertaa,4.10,/@officialjassrecords
k0L1Kp08UQM,Colored Phone Case! #artistomg #creative,139 106 016 katselukertaa,0.12,/@artistomg
CGkvXp0vdng,Beyoncé - Video Phone (Extended Remix featuring Lady Gaga),138 933 113 katselukertaa,5.04,/channel/UCuHzBCaKmtaLcRAOoazhCPA
7IcGYHU8WBo,vivo Smart Phone - Minions,133 751 733 katselukertaa,0.30,/@vivoThailand
t6h1iF4Uk2s,POV: u spill water on ur phone 💧💀 #water #phone #mementoe,133 397 370 katselukertaa,0.28,/@Mate_Mehesz
