Video Id,Title,View Count,Length,Channel
XTiiVDH74VA,gqtis - POOR (Phonk),10 050 643 katselukertaa,2.40,/@thevibeguide
tV-fEIVBmEw,"gqtis ""POOR""",1 282 272 katselukertaa,2.41,/@PHONKDOMAIN
OY6rOycePg4,Poor gqtis (1 hour version),337 338 katselukertaa,1.01.25,/@captiphonk
Actcer0fqPM,POOR (Slowed + Reverb),3 568 472 katselukertaa,3.13,/channel/UCAKaHwVyH9hxqulxk-xN2_Q
ZYJ2U63MY70,"POOR GIRL'S GIFT Shamed At BIRTHDAY PARTY, What Happens Next Is Shocking | Dhar Mann",6 897 938 katselukertaa,19.15,/@DharMann
XJs1kuiu8G4,"Köyhä tyttö. Mene torille myymään etanoita, ostamaan kanaruokaa ja ostamaan uusia sandaaleja",54 613 katselukertaa,31.53,/@poorgirl2015
PM-M_5sCXBM,"Brookhaven, But POOR to RICH to BILLIONAIRE ODER In 24 Hours.. (Brookhaven RP🏡)",972 526 katselukertaa,3.05.42,/@RaylashonBrookhaven
qI3P4V3H1UM,POOR 2,1 566 528 katselukertaa,2.09,/channel/UCAKaHwVyH9hxqulxk-xN2_Q
8s-68dG7XgU,"gqtis ""POOR (Sped Up)""",642 980 katselukertaa,2.18,/@PHONKDOMAIN
ntIuTn4BdGw,POOR (Nightcore),491 743 katselukertaa,2.08,/channel/UCAKaHwVyH9hxqulxk-xN2_Q
MjZmgsMPp9Y,"gqtis ""POOR 2""",572 794 katselukertaa,2.09,/@PHONKDOMAIN
s8BobT70G44,Growing Up Poor: Breadline Kids | ENDEVR Documentary,1 071 286 katselukertaa,46.02,/@ENDEVRDocs
a0rJsmRn8C0,Poor boy - building a daily life - Picking fruit to sell for a living,,35.06,/@Poorboy22
E5T8GYJs7yw,Europe's Extreme Poverty Problem | Poor Europe | Real Stories Full-Length Documentary,341 622 katselukertaa,52.13,/@RealStories
0OaRpmMypEo,POOR (SPEED UP) 1H/1HOUR,30 525 katselukertaa,1.00.18,/@1H-dq7lw
LVrvCHW7PlU,POOR - (SLOWED & REVERB) 1 HOUR,51 445 katselukertaa,1.00.24,/@user-sj5tf6si2j
ONm0uc1E69s,"gqtis ""POOR (Slowed + Reverb)""",1 774 585 katselukertaa,3.13,/@PHONKDOMAIN
ruTDjXM-_ms,gqtis  - POOR (Slowed Reverb),150 523 katselukertaa,3.22,/channel/UCugEMtWaRjyrkke9zxyH_Kg
wfSz52z_ZLc,phonk poor (slowed + reverb),1 993 558 katselukertaa,3.22,/@slowjj8088
4JyO3k7TJDc,POOR - PHONK - gqtis - 1 hour loop,44 483 katselukertaa,1.01.21,/@1hourmusic.mp3
