Video Id,Title,View Count,Length,Channel
1QoLPg_Hnxw,Trying this trend at 37 weeks pregnant #shorts,418 295 035 katselukertaa,0.13,/@MattandAbby
4RiXrbjuEoA,Trying this trend at 39 weeks pregnant #shorts,303 563 811 katselukertaa,0.13,/@MattandAbby
IRRYvvskNEM,Guessing my pregnant wife’s replies 🤰🏻😍🤣 pt2 #shorts,256 367 284 katselukertaa,0.40,/@antxana
DGyRD9HnXVs,Conception explained,164 967 623 katselukertaa,2.05,/@AptaclubIreland
1eGhaoTVha0,PREGNANCY TRANSFORMATION | Week By Week Progress,144 528 290 katselukertaa,4.06,/@ValeriaLipovetsky
9ZUan4uMZV8,Wife surprises husband at his office with pregnancy reveal! 😭❤️ #Shorts,143 567 520 katselukertaa,1.00,/@PaulVuTV
7Va6IXwwGzk,WHAT IT’S LIKE WHEN YOU’RE 34 WEEKS PREGNANT#shorts,133 888 119 katselukertaa,0.08,/@TheHerberts-tk3zz
7nw-QA_-ED8,This is Your Pregnancy in 2 Minutes | Glamour,118 711 591 katselukertaa,2.27,/@glamour
izOa3-AX8zQ,Pregnancy - How a Wonder is Born! (Animation),86 681 789 katselukertaa,19.35,/@ThomasSchwenke-knowledge
qDJW2-E88rI,pregnancy part 2,84 223 504 katselukertaa,0.41,/@allroundervines4894
_bO0hqVNeZU,When you go out with your pregnant girlfriend 🤦🏽‍♂️ #shorts,82 510 101 katselukertaa,0.08,/@TheTrenchFamily
Czq3lGM0Fk0,Trying this trend at 30 weeks pregnant #shorts,79 496 756 katselukertaa,0.13,/@MattandAbby
eVuittFyM34,I'M SO PREGNANT - Iggy Azalea - Fancy Parody,75 247 041 katselukertaa,2.32,/@WhatsUpMOMS
qdkk-F_n4Pc,Funny pregnancy prank 😂 #shorts,72 768 462 katselukertaa,0.43,/@MrDegreeOfficial
PXg499DOyBo,Incredible Singing! Expensive vs Cheap Pregnancy #shorts,69 910 708 katselukertaa,0.59,/@ratatashorts
HlFoPNVxMXg,Short Film: Sexuality and pregnancy with Multiple Sclerosis,60 958 737 katselukertaa,9.05,/@emspvideos
B2h2QXVF970,Pregnancy  Transformation (Week by Week) | Kryz Uy,60 233 940 katselukertaa,5.59,/@kryzzzie
Y4LTKX8GyQ8,Baarish ban jana | Pregnant Love Story | बारिश बन जाना |Jab Me Badal Ban Jau | Stebin Bin | Ishqueen,58 822 463 katselukertaa,4.53,/@Ishqueen
Oh_1urJCxKw,Acting like my Pregnant Wife! 🤰🤣 #shorts,58 536 117 katselukertaa,0.45,/@antxana
js6VuwXpv_4,Pregnancy draping! #babyshowermakeup #surrealbridalmakeovers,56 139 454 katselukertaa,0.24,/@surrealbridalmakeovers
