Video Id,Title,View Count,Length,Channel
0ir1qkPXPVM,Miley Cyrus - Prisoner (Official Video) ft. Dua Lipa,107 066 221 katselukertaa,3.15,/channel/UCn7dB9UMTBDjKtEKBy_XISw
N_EnLHcZElw,Escaped PA prisoner Danelo Cavalcante being transferred to state prison after capture,180 890 katselukertaa,1.07,/@6abcActionNews
x0bRHmTQEsE,Prisoner,5 097 853 katselukertaa,4.35,/channel/UC0WP5P-ufpRfjbNrmOWwLBQ
C3QhpYTDi4Y,ANKOR - Prisoner [OFFICIAL VIDEO],1 416 662 katselukertaa,3.59,/channel/UC3FWrLME8RHAHz36HLxcgyg
WlybXg-TDQ8,James Arthur - Prisoner (Official Audio),251 094 katselukertaa,4.00,/channel/UCV5Gw7GGOMxe6SSF6llp_3Q
q2j1tgGcDsE,Miley Cyrus - Prisoner (Lyrics) Feat. Dua Lipa,134 122 katselukertaa,2.50,/@LostPanda
uqQfBfCkRAM,"How police tracked down, captured escaped Pennsylvania prisoner",167 005 katselukertaa,2.19,/@TODAY
56uCYzXZYOM,"Escaped prisoner shot at by homeowner before fleeing, police say",136 407 katselukertaa,3.10,/@TODAY
Df-fm-MSMqI,Dance Gavin Dance - Prisoner (Official Music Video),3 813 002 katselukertaa,3.47,/@riserecords
Lgp59NL_NW8,Escaped Prisoner Danelo Cavalcante Captured After Manhunt,1 205 098 katselukertaa,2.43,/@InsideEdition
SnvMFILxUtU,"Escaped Pennsylvania prisoner armed with stolen rifle, police say",27 577 katselukertaa,1.54,/@CBSEveningNews
QINiReCjMzI,Miley Cyrus - Prisoner (Lyrics) ft. Dua Lipa,1 267 katselukertaa,2.57,/@bemuonline
uYUCmiS4hwg,Pennsylvania escaped prisoner Danelo Cavalcante has been captured,74 907 katselukertaa,2.08,/@msnbc
QegNok3Vsfo,Residents on edge as search for escaped Pennsylvania prisoner drags on,56 650 katselukertaa,3.02,/@6abcActionNews
P0b1Sk7_VFM,Lucky Dube - Prisoner (Official Music Video),8 367 907 katselukertaa,4.18,/channel/UC1tnVAnTb4wAym1DEjoEkMw
kO-K7z19iaw,"Escaped Prisoner Stole Rifle, Dodged Gunfire from Homeowner as Manhunt for Killer Continues",35 190 katselukertaa,2.53,/@LawAndCrime
Lx_fxGH2ss0,Timeline: The manhunt and capture of escaped Pa. prisoner,5 806 katselukertaa,2.38,/@6abcActionNews
fJKR-2vvqVI,"Escaped Pa. prisoner survived on watermelon, was almost stepped on during search: Sources",256 587 katselukertaa,2.19,/@6abcActionNews
MarHeBQdnyI,Miley Cyrus “Prisoner” on the Stern Show,1 095 061 katselukertaa,4.14,/@howardstern
MLYdFSaE4tk,The Prisoner (2015 Remaster),1 529 715 katselukertaa,6.03,/channel/UCaisXKBdNOYqGr2qOXCLchQ
