Video Id,Title,View Count,Length,Channel
WFc08j9eorQ,The 7 Habits of Highly Effective People Summary,3 516 901 katselukertaa,13.19,/@wisdom-for-life
sYDCJR_ApEQ,Jannah Bolin Sings The 7 Habits,2 900 154 katselukertaa,4.18,/@BowlingGreenChamber
goHTuEa8Lvw,Essentia Proactive - Odkryj młodość w sobie!,2 529 805 katselukertaa,0.15,/@EssentiaProactive
ESNNlA8vq5U,7 Habits of Happy Kids Song - There's A Leader In Me,2 241 304 katselukertaa,5.23,/@TheWiseChannel
PnsU3xyzVrM,"Essentia Proactive - Dbaj o zdrowie, dbając o wątrobę!",2 378 096 katselukertaa,0.15,/@EssentiaProactive
EMnC9_V7iUc,Proactive Action: Capturing the Heritage of the Cordillera Region,1 053 048 katselukertaa,2.01,/@XiaomiPhilippinesOfficial
P4fzmEbiguc,Does it Work?- Proactive day 1,833 424 katselukertaa,5.32,/@christendominique
xaTmv67WpRM,7 Habits of Highly Effective People - Habit 1 - Presented by Stephen Covey Himself,822 556 katselukertaa,47.51,/@serenemedia9128
qfvlEsuQexY,Elon Musk Wants Putin to win #putin #money #musk #elonmusk #war #usa,565 299 katselukertaa,0.48,/@ProactiveThinker
Tex0zKuLCMg,Proactive vs Reactive | Be Proactive,433 999 katselukertaa,10.08,/@ProductivityGuy-
Hlju1slKLiU,Ukraine is in trouble... #trump #ukraine #usa #putin #russia #money #economy,384 313 katselukertaa,0.54,/@ProactiveThinker
AW5Hg5dv0vk,The Truth About Proactiv,356 189 katselukertaa,18.59,/@Hyram
ms7Kkycrf_g,Tased To Death in Parking Lot | PROACTIVE Cops,341 884 katselukertaa,11.45,/@thecivilrightslawyer
tK0L94N98dg,How to Use Proactive Step by Step : Makeup Vice,307 357 katselukertaa,3.29,/@ehowbeauty
Ye1P8bN6PUQ,PROactive PUSH UP Workout | EPIC II - Day 43,287 009 katselukertaa,52.35,/@CarolineGirvan
RG9HyfzBdYQ,Does it work? Proactive Week 3 follow up,196 534 katselukertaa,7.43,/@christendominique
16gi4CVYnso,the real reason why Dubai is so Rich??? #money #dubai #usa #trump #rich #billionaire,191 780 katselukertaa,0.57,/@ProactiveThinker
7OHomC5bBs8,2024 might be the best year for Putin  #money #economy #trump #biden #russia #putin,189 378 katselukertaa,0.54,/@ProactiveThinker
6KXR6owEV_0,[FULL VIDEO]  Kendall Jenner's Real Skincare Routine Without Proactive [Acne Treatment],179 830 katselukertaa,1.48,/@KingKyliee
xoGoeT41onM,Justin Bieber - Proactive Commercial,169 621 katselukertaa,1.00,/@JustinCrewTV
