Video Id,Title,View Count,Length,Channel
tO0WuF_SC9A,Engineer Vs Programmer 😃,102 659 436 katselukertaa,0.30,/@ArkAadil
NOWDL7uTgys,normal people vs programmers vs hackers,42 676 004 katselukertaa,1.00,/@WINDOWS_TRICKS
HluANRwPyNo,What people think programming is vs. how it actually is,21 540 611 katselukertaa,0.30,/@Jombo1
v5pUL2li_zQ,Coding - Expectation vs Reality | Programming - Expectation vs Reality | Codeiyapa #Shorts,20 075 218 katselukertaa,0.38,/@Codeiyapa
e_TxH59MclA,Day in the Life of a Japanese Game Programmer,15 477 954 katselukertaa,13.47,/@PaolofromTOKYO
MAlSjtxy5ak,Every programming tutorial,14 835 960 katselukertaa,0.29,/@Jombo1
QPd7nT7ecQI,how programmers overprepare for job interviews,13 759 771 katselukertaa,1.00,/@jomashorts4427
DBXZWB_dNsw,14-Year-Old Prodigy Programmer Dreams In Code,12 799 989 katselukertaa,8.42,/@thnkr
ALJ-AQpQvNM,Puzzles for Software Engineers | Google #10,11 870 494 katselukertaa,0.48,/@ApnaCollegeOfficial
pKO9UjSeLew,If Programming Was An Anime,10 280 057 katselukertaa,3.26,/@jomaoppa
KJgsSFOSQv0,C Programming Tutorial for Beginners,9 879 043 katselukertaa,3.46.13,/@freecodecamp
M5QY2_8704o,Chillstep Music for Programming / Cyber / Coding,9 829 720 katselukertaa,1.46.00,/@MusicLabChill
MmfikLimeQ8,Programming your mind for success | Carrie Green | TEDxManchester,8 780 050 katselukertaa,15.32,/@TEDx
uGrBHohIgQY,Winning Google Kickstart Round A 2020 + Facecam,8 332 829 katselukertaa,17.10,/@tmwilliamlin168
7fHBgiruWI0,Puzzles for Software Engineers | Google #3,7 992 659 katselukertaa,0.51,/@ApnaCollegeOfficial
sW9npZVpiMI,why you NEED math for programming,7 850 546 katselukertaa,5.03,/@jomaoppa
Zjl2vmy02As,A Day in the Life of a Software Engineer... WFH,7 753 761 katselukertaa,9.24,/@PIRATEKINGDOM
HIj8wU_rGIU,How to Start Coding | Programming for Beginners | Learn Coding | Intellipaat,7 644 157 katselukertaa,33.08,/@Intellipaat
NjMHDR794gs,Senior programmers vs junior developers #shorts,7 352 721 katselukertaa,0.38,/@maniwebertechnologies
ysDE-cP6Cpg,How Programmers Show Off Their Keyboards,7 286 345 katselukertaa,0.55,/@jomashorts4427
