Video Id,Title,View Count,Length,Channel
Z__t-KtUDIw,So You Want to Be a PSYCHIATRIST [Ep. 18],613 693 katselukertaa,16.37,/@MedSchoolInsiders
SzyG5Zmm_tY,PSYCHIATRIST: How the Transgender Movement Happened,389 880 katselukertaa,1.08.24,/@triggerpod
68np-Fp92P4,73 Questions with a Psychiatry Resident ft. Jake Goodman MD | ND MD,344 462 katselukertaa,51.28,/@NDMD
OaeYUm06in0,"Karl Deisseroth: Depression, Schizophrenia, and Psychiatry | Lex Fridman Podcast #274",499 391 katselukertaa,3.21.29,/@lexfridman
A8FNKCrbPbk,How I chose psychiatry (Serious),30 958 katselukertaa,3.23,/@itspresro
xjEFo3a1AnI,Dr. Chris Palmer: Diet & Nutrition for Mental Health | Huberman Lab Podcast #99,4 385 599 katselukertaa,3.03.42,/@hubermanlab
Z7wtjY8r5f8,'A Day as a Psych Ward Patient' | Dr Syl's Psychiatric Analysis,40 097 katselukertaa,26.23,/@DrSyl
2buin-gMZG8,SCHIZOPHRENIC EPISODE ON CAMERA | Dr Syl's Psychiatric Analysis,104 356 katselukertaa,22.44,/@DrSyl
yFjZ4ez8Mi8,Most Dangerous Places to Work: Life On the Psych Ward | Free Documentary,2 129 874 katselukertaa,47.19,/@FreeDocumentary
6TS4d-zqRFA,Psychiatrist Explains BPD (Borderline Personality Disorder) - Psychology 101,1 284 956 katselukertaa,29.49,/@HealthyGamerGG
lVMcVs0Ty1E,Psychiatrist Probes Parkland School Shooter's Mind During Jailhouse Interview,647 895 katselukertaa,38.39,/@LawAndCrime
-Nd40Uy6tbQ,"Psychiatry & Big Pharma: Exposed - Dr James Davies, PhD",557 947 katselukertaa,1.47.54,/@TheWeekendUniversity
GQIrEHTUYDU,Life On The Psych Ward (Forensic Psychiatry Patients Documentary) | Real Stories,705 376 katselukertaa,47.08,/@RealStories
GKokEpFUB9E,Patient Ends Up in Psychiatry Trying To Trick Doctors | Chicago Med | MD TV,500 913 katselukertaa,10.04,/@MDTV
GLYpBnE21iI,Life Inside The World's Oldest Psychiatric Institution | Our Life,2 355 612 katselukertaa,46.21,/@OurLife
ZB28gfSmz1Y,Psychiatric Interviews for Teaching: Psychosis,1 450 881 katselukertaa,12.30,/@uniofnottingham
3qLrfBxQ1O0,Day in the Life of Medical School - Psychiatry Rotation,43 787 katselukertaa,11.43,/@ZachHighley
