Video Id,Title,View Count,Length,Channel
i7ygKQunfmE,Baa Baa Black Sheep + More Nursery Rhymes & Kids Songs - CoComelon,882 269 986 katselukertaa,35.24,/channel/UCbCmjCuTUZos6Inko4u57UQ
2n4enj6YMnw,ChuChu TV Classics - Phonics Song with Two Words | Nursery Rhymes and Kids Songs,749 580 553 katselukertaa,4.57,/@ChuChuTV
NvdUSZyCGRs,Roma and Diana learn the alphabet / ABC song,716 996 363 katselukertaa,13.26,/@KidsRomaShow
RLMJmJ_IdnQ,Johny Johny Yes Papa Nursery Rhymes - The Best 3D Animation Rhymes & Songs for Children,351 935 338 katselukertaa,30.02,/channel/UCsPF3cApzCohxPp5oKdoWSQ
2kUaylNjr4M,Telugu Rhymes for Children | 27 Telugu Nursery Rhymes Collection | Telugu Baby Songs,281 525 282 katselukertaa,31.05,/channel/UCsPF3cApzCohxPp5oKdoWSQ
WEwmqyjUE8E,A Ram Sam Sam song for kids + more nursery rhymes by HeyKids,252 708 729 katselukertaa,37.24,/@HeyKids
giVecL2ANv8,Dam Dam Dam - 3D Animation Telugu rhymes for children,208 462 357 katselukertaa,1.39,/channel/UCsPF3cApzCohxPp5oKdoWSQ
MCF0-Q-IlGE,Baby Shark + A Ram Sam Sam - LooLoo Kids Nursery Rhymes and KIDS Songs LLK,129 884 004 katselukertaa,4.16,/@LooLooKids
B5yehhCgL1I,𝑵𝑬𝑾 A Ram Sam Sam - Best SONGS For KIDS | LooLoo Kids Nursery Rhymes and Children`s Songs LLK,117 258 253 katselukertaa,2.35,/@LooLooKids
XKiZCLxASs0,Meow Meow Biralo - Myau Myau Biralo | Nepali Rhymes Collection | लोक प्रिय नेपाली बाल गीत,113 062 573 katselukertaa,16.25,/@nanibabu-nepalirhymesbabys8078
fr0Aj4CabFg,Wheels On The Train Go Round And Round - 3D Kids' Songs & Nursery Rhymes for children,90 640 317 katselukertaa,5.04,/channel/UCsPF3cApzCohxPp5oKdoWSQ
7TRjERccZrE,Twinkle Twinkle Little Star Nursery Rhyme - Kids Songs - 3D Animation Rhymes for Children,34 164 107 katselukertaa,1.14.51,/channel/UCsPF3cApzCohxPp5oKdoWSQ
QkhAwabc1Mw,"Full chase: Suspect rams cars, steals van and truck during SoCal pursuit",31 140 390 katselukertaa,1.40.49,/@ABC7
ubspZnidcak,ఏనుగమ్మ ఏనుగు | Enugamma Enugu | Telugu Rhymes for Children | Telugu Nursery Rhymes | KidsOneTelugu,28 168 441 katselukertaa,4.07,/@kidsonetelugu
4TpW-Qfjd-0,Chitti Chilakamma Amma Kottinda | Telugu Rhymes for Children | Infobells,21 681 377 katselukertaa,5.57,/@infobellstelugurhymes
0i0nXNyRqhg,Tali Bajou ताली बजाउ | Nepali Rhymes Collection | लोक प्रिय नेपाली बाल गीत,12 585 433 katselukertaa,1.12.10,/@nanibabu-nepalirhymesbabys8078
4x4MND-Rhrc,Rams vs. Bengals | Super Bowl LVI Game Highlights,10 141 887 katselukertaa,16.03,/@NFL
AkMUXct0kEc,The Greatest Regular Season Game of All Time? | Chiefs vs. Rams 2018 Highlights,9 398 591 katselukertaa,16.44,/@NFL
AOY3F6UzBcY,NCT DOJAEJUNG DIAJAK TUMPENGAN DIRUMAH BARU RAFFI NAGITA!!!RAFATHAR&JAEHYUN AKHIRNYA DIPERTEMUKAN,8 003 479 katselukertaa,19.38,/@RansEntertainment
Ez7RUSCUhzk,Big Horn Bash | Untamed Americas,7 615 183 katselukertaa,2.13,/@NatGeo
