Video Id,Title,View Count,Length,Channel
NjlYk5262IA,@Numberblocks- Rectangle Racers 🏎 | Shapes | Season 5 Full Episode 15 | Learn to Count,37 825 575 katselukertaa,4.35,/@Numberblocks
HwO37XPeE3k,Tejido básico en telar rectangular | Punto cruzado- principiantes,10 207 813 katselukertaa,13.58,/@Ambertejidosconamor
jlzX8jt0Now,"Learn Shapes Circle, Square, Triangle, Rectangle & more | Educational Videos For Toddlers & Babies",6 751 556 katselukertaa,9.58,/@RVAppStudios
qJwecTgce6c,Math Antics - Volume,5 463 725 katselukertaa,12.36,/@mathantics
Ej7SK6aQobs,Super Rectangle Fun! | 90 Minute Compilation | 123 - Numbers Cartoon For Kids | Numberblocks,5 024 122 katselukertaa,1.33.18,/@Numberblocks
n1cq03QdRmQ,Very easy Rectangle wrap top/shirt cutting and sewing | Even a beginner can make this shirt,4 793 628 katselukertaa,12.34,/@MiaSewing
cUbIkNUFs-4,The Original Square Hole Girl Video + The Redemption,3 945 912 katselukertaa,1.55,/@AlisonBurke
9JP-ZhwrxzI,Rectangle Song,3 910 096 katselukertaa,2.23,/channel/UC1jhiDqp-jIYR07Ini8Jamw
muyd7ZyATFU,RECTÁNGULO tejido a crochet paso a paso - para Colchas y tapetes,3 638 414 katselukertaa,29.02,/@MariieCrochet
32Pjg7-0Uwc,쉽고 빠르고 간편하게 만드는 사각형 블라우스 Rectangular blouse to make  quickly and easily,3 359 661 katselukertaa,15.49,/@-Mongra
vytwO_LkACM,DIY Simple Wrap Top / Rectangle shirt / Summer Crop top Tutorial / For Beginner,3 336 729 katselukertaa,8.21,/@diykorea
IFSf-KzZRUk,GIFT PACKING | RECTANGULAR GIFT WRAPPING+ORIGAMI PAPER RIBBON BOW DECORATION | I.Sasaki Original,3 313 318 katselukertaa,11.49,/@ISasaki
GJ5XTWgXd9I,⭐️Very easy Rectangle cape cutting and stitching | Step by step sewing tutorial for beginners,3 202 663 katselukertaa,10.51,/@MiaSewing
AmgkSdhK4K8,Who cares about topology?   (Inscribed rectangle problem),3 036 552 katselukertaa,18.16,/@3blue1brown
HRd-OkDhR-o,Eating Only Rectangle Shape Food for 24 Hours 😍,2 138 949 katselukertaa,1.00,/@cravingsandcaloriesvlogs
2WHJio4TRNY,"""That's A Rectangle,"" Songs About Shapes by StoryBots | Netflix Jr",1 931 786 katselukertaa,1.25,/@NetflixJr
9HPWB8UX8GQ,How to find the Area and Perimeter of a Rectangle,1 907 926 katselukertaa,1.31,/@CruzLJ1
dYeejxARMQM,Table Train (Lazy Susan) for Rectangular Tables with Family & Friends,1 900 172 katselukertaa,1.15,/@weltersproducts
B8j8qNfQgps,"Bestway Power Steel Rectangular Frame Pool Set 6,71 x 3,66 x 1,32m Unboxing and Review! Time-Lapse",1 892 077 katselukertaa,11.39,/@BESTREVIEWSTOP10
JnLDmw3bbuw,"Area of a Rectangle, Triangle, Circle & Sector, Trapezoid, Square, Parallelogram, Rhombus, Geometry",1 890 478 katselukertaa,20.35,/@TheOrganicChemistryTutor
