Video Id,Title,View Count,Length,Channel
xZ-ZRn9B6LA,Top 10 Soft Drinks in the World 🌎 (by revenue) #shorts,19 615 712 katselukertaa,1.00,/@maxklymenko
gHW9Lrm5crY,My YouTube Earnings Revealed!! How Much Money I make from YouTube?,18 499 705 katselukertaa,10.02,/@TechnicalGuruji
mOZLJ45IFZg,"Rivvuna Egire Guvva (Male Version)  | Janaki Weds Sri Ram | Rohith, Gajala, Akshara | NedeChudandi",9 385 331 katselukertaa,5.04,/@NedeChudandiVolga
KuxT4udM3dw,TOP 10 Most Popular Chips Brands (by revenue) 🤯 #shorts,8 898 106 katselukertaa,0.59,/@maxklymenko
A8gWr15j6FQ,🤐 10 LAKH RUPEES PROFIT From TRADING? #shorts #trading #stockmarket #business #motivation  #money,8 783 967 katselukertaa,0.36,/@UmerQureshi
GhJCFvrv_6E,Minecraft Funny Moments - The Adventure for Ad Revenue! (Fanmade Map),6 646 163 katselukertaa,28.12,/@VanossGaming
6y6RGvXxnfI,"Rivvuna Egire Guvva | Janaki Weds Sri Ram | Rohith, Gajala, Akshara | @NedeChudandi",6 552 351 katselukertaa,5.20,/@NedeChudandiVolga
WYp-zzEYZXY,Amrik Sukhdev Dhaba की कमाई कितनी है ? | What is the annual revenue of Sukhdev Dhaba (Murthal),5 008 032 katselukertaa,4.37,/@FactubeWorld
rfBAZoSlDIQ,Earn Profit In Share Market | Expert Interview | Investment V/S Trading | Dr Vivek Bindra,4 579 908 katselukertaa,22.01,/@MrVivekBindra
i3YIj1BJ0s0,Tech Burner Overlay Revenue 😱#shorts,4 539 385 katselukertaa,0.20,/@RichBaba
4rZNOQ7yDcY,KSI And Logan Paul Reveal Prime Revenue 😮,4 459 104 katselukertaa,0.22,/@moneymoth
kxKS_eriW3Y,Breaking Down the Revenue Streams of IPL Teams #ipl2023 #iplnews #ipl,4 203 716 katselukertaa,0.59,/@LiveHindiFacts
YXPBJ9Lno8Y,YouTube shorts Income for 1Million Views,3 127 783 katselukertaa,0.30,/@drktalks
FqLjyA0hL1s,"Lower Taxes, Higher Revenue",2 894 940 katselukertaa,5.38,/@PragerU
mNZq-g41cjM,Our YouTube ad revenue vs. reality,2 513 301 katselukertaa,0.59,/@jklovett
_gwm1m-sV1Q,BIGGEST PROFIT OF MY LIFE!! || Read Description || Booming Bulls #shorts,2 494 992 katselukertaa,0.31,/@BoomingBulls
wJVRp9mWZMM,JOSEY - JE SUIS REVENUE,2 403 597 katselukertaa,2.56,/channel/UC2vLRSC5B2cd4kFo1_cbwpw
O47NtSh9qA0,200+ Crore Profit from Stock Market in 5 Min? | Spoofing Scam in Share Market,2 285 444 katselukertaa,0.59,/@PushkarRajThakurOfficial
JYagoP6GPxk,ELLE EST REVENUE ME VOIR 😍,2 013 922 katselukertaa,1.01,/@tonyczh
SwtOw-xOFbU,Rave Unde Recipe| ಸುಲಭವಾಗಿ ಮಾಡುವಂತಹ ರವೆ ಉಂಡೆ ।kannada recipe |  Karnataka recipes|Rava ladoo,1 971 575 katselukertaa,4.47,/@SwayamPaaka
