Video Id,Title,View Count,Length,Channel
owTPZQQAVyQ,Theodore Roosevelt vs Winston Churchill. Epic Rap Battles of History,50 708 464 katselukertaa,3.09,/@ERB
UBS6MM05KdY,Roosevelt - Montreal (Official Video),17 587 000 katselukertaa,4.00,/@GrecoRomanMusic
Ekix0OSwans,Making US President Favorite Foods | FDR,17 232 421 katselukertaa,0.44,/@SenyaiGrubs
1CA7607mUhE,Super Aircraft Carrier • USS Theodore Roosevelt Conducts Flight Operations at Sea,16 811 517 katselukertaa,6.34,/@MOTORIZADO
lK8gYGg0dkE,President Franklin D. Roosevelt Declares War on Japan (Full Speech) | War Archives,9 155 904 katselukertaa,4.48,/@WarArchives
UBVamjW-Ks4,VIOLENT Super Hornets Carrier Catapult Takeoffs – Flight Deck Ops USS Theodore Roosevelt,8 045 365 katselukertaa,3.45,/@MiliSource
FhYwPaCcncg,How Andre Improved the Environment at Roosevelt High School part 2,7 649 802 katselukertaa,0.59,/@AndreNormanShow
8PMJNUjaivw,Roosevelt - Night Moves (Official Video),7 568 155 katselukertaa,4.56,/@GrecoRomanMusic
Wo0xAiDGCXY,Roosevelt - Shadows (Official Video),6 920 923 katselukertaa,4.32,/channel/UCqqY6fzyLY3OmdjYRe2eJAg
ajXtgabBHDY,Adolf H*tler Responding to FDR in 1938 #shorts,6 696 706 katselukertaa,0.44,/@HistoryHQShorts2077
PFhY6IaUJ40,"The best part of the movie ""Pearl Harbor""",6 561 560 katselukertaa,3.44,/@Kreemerz
-4FWJmHfLC0,Roosevelt - Moving On (Official Video),6 311 889 katselukertaa,4.37,/channel/UCqqY6fzyLY3OmdjYRe2eJAg
dghUoEAbIPA,Teddy Roosevelt Had That DAWG in Him 🐕 | #shorts,6 173 149 katselukertaa,0.58,/@rudeboybrody
VTPqfL-WCqo,Roosevelt - Shadows (Midnight Version),4 703 977 katselukertaa,7.31,/channel/UCqqY6fzyLY3OmdjYRe2eJAg
FtDxjVCu56E,FDR and Policing the World: Hitler's Threat,4 619 286 katselukertaa,2.05,/@AmericanExperiencePBS
6bMq9Ek6jnA,The New Deal: Crash Course US History #34,4 201 890 katselukertaa,14.57,/@crashcourse
N7xqojtXcJw,Roosevelt - Teardrops (Official Audio),3 825 900 katselukertaa,5.27,/channel/UCqqY6fzyLY3OmdjYRe2eJAg
AElZncAyiIA,Mwen Bezwen W by Roosevelt Jean Noel,3 812 403 katselukertaa,4.59,/@PLATFOMKRETYEN
A311CnTjfos,The Man in the Arena – Teddy Roosevelt (A Powerful Speech from History),3 532 395 katselukertaa,2.49,/@RedFrostMotivation
a-DGXmScpeM,K. Roosevelt - Do Me Now ft. Hit-Boy,3 417 098 katselukertaa,3.37,/channel/UCxPbvjGxa8NmDR_DbfyogCg
