Video Id,Title,View Count,Length,Channel
DxGG1NKKTrs,"10 Best Places to Live in Sacramento 2023 - Sacramento, California for Every Lifestyle",12 505 katselukertaa,14.03,/@USHistorians
yFMf-ST18AQ,"Top things you HAVE to do in SACRAMENTO, California | SACRAMENTO Travel Guide",88 842 katselukertaa,11.04,/@TouristtoLocal
I2LQm1qjOO4,SACRAMENTO CALIFORNIA TRAVEL GUIDE 4K,71 830 katselukertaa,12.51,/@IslandHopperTV
ckXYWiupgr8,"Sacramento, USA in 8K HDR 10 BIT ULTRA HD Drone Video (60 FPS)",6 736 katselukertaa,6.01,/@Exploropia
P6iL__aEhBw,20 Things to Do in Sacramento,450 726 katselukertaa,11.17,/@californiathroughmylens
flA2YigNoYg,"1 dead, 2 hurt in Sacramento County shooting, officials say",4 673 katselukertaa,1.57,/@KCRA
SePBibVtqKs,"Sacramento Overview | An informative introduction to Sacramento, California",34 831 katselukertaa,4.40,/@CityGeek
wa6qY8DWaqI,Golden State Warriors vs Sacramento Kings Game 6 Full Highlights | 2023 WCR1 | FreeDawkins,1 099 719 katselukertaa,9.32,/@FreeDawkins
Brc1VRnhuhk,Golden State Warriors vs Sacramento Kings Game 7 Full Highlights | 2023 WCR1 | FreeDawkins,2 819 852 katselukertaa,9.32,/@FreeDawkins
WkslX2h0zLE,Is Sacramento one of the “dirtiest” cities in America?,14 785 katselukertaa,2.39,/@cbssacramento
SzD3MMPGq50,Drugs and escape tools smuggled into Sacramento County Jail,2 985 katselukertaa,2.37,/@ABC10
396f7hAvQiI,Standoff in downtown Sacramento involving man with gun comes to an end,3 228 katselukertaa,4.04,/@KCRA
RVwHrRL_jns,"Sacramento police shoot, kill man with gun on DOCO parking garage roof after standoff",2 748 katselukertaa,5.44,/@KCRA
BwX3qw2ClxE,Golden State Warriors vs Sacramento Kings Game 1 Full Highlights | 2023 WCR1 | FreeDawkins,954 254 katselukertaa,9.41,/@FreeDawkins
9ZoK9i1UPro,Golden State Warriors vs Sacramento Kings Game 4 Full Highlights | 2023 WCR1 | FreeDawkins,1 931 726 katselukertaa,9.43,/@FreeDawkins
DDDulFFKuKU,Golden State Warriors vs Sacramento Kings Game 2 Full Highlights | 2023 WCR1 | FreeDawkins,796 293 katselukertaa,9.26,/@FreeDawkins
9ReyuxZ9N9o,Sacramento's Little Saigon: How the Vietnamese community is preserving culture,22 671 katselukertaa,8.01,/@ABC10
N8MN6Rb0htQ,Man attacked in South Sacramento shares moments leading up to attack,135 708 katselukertaa,2.02,/@ABC10
aLryFTOuwxQ,Sacramento Kings name cook-off winner,221 katselukertaa,1.17,/@KCRA
