Video Id,Title,View Count,Length,Channel
HCjNJDNzw8Y,Camila Cabello - Havana (Audio) ft. Young Thug,1 966 525 354 katselukertaa,3.39,/channel/UCio_FVgKVgqcHrRiXDpnqbw
BQ0mxQXmLsk,Camila Cabello - Havana ft. Young Thug,1 073 189 813 katselukertaa,6.43,/channel/UCio_FVgKVgqcHrRiXDpnqbw
egtD5GfAh58,Camila Cabello - Havana (Lyrics) ft. Young Thug,110 252 769 katselukertaa,3.33,/@7clouds
emnA7QD0h4k,Heavy Rainstorm FLOODED Our Basement! BUSTED Window And Rushing Water!,80 398 401 katselukertaa,17.36,/@YawiVlogs
2aQE62wtj5g,Caught On Security Camera 12 Foot SKELETON Inside Tannerites HOUSE While Playing Hide N Seek!,79 297 318 katselukertaa,11.58,/@Tannerites
Mrlsmm6gaww,The Lion | Animal Songs | PINKFONG Songs for Children,77 740 126 katselukertaa,1.18,/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
u1I9ITfzqFs,Diviners - Savannah (feat. Philly K) [NCS Release],65 836 158 katselukertaa,3.24,/@NoCopyrightSounds
u1ss5PGYsPY,Hakuna matata | Animal Songs | PINKFONG Songs for Children,61 294 948 katselukertaa,2.06,/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
vK_zBlQ1ka0,My Sister Is A ROBOT! Tannerites Robot DREAM!,54 766 497 katselukertaa,11.44,/@Tannerites
dSd0hmMUSNQ,BuyiNg Real Food DriVe Thru Play PreTend The MoVie!,47 146 708 katselukertaa,59.21,/@Tannerites
77pypjV06fo,FroZen Hot Vs Cold Bro VS Sis The Movie!,38 511 650 katselukertaa,42.14,/@Tannerites
HCQ5Z0_5h_I,I Put My BrOtHer In Lego JaiL For CHeATING!,33 950 165 katselukertaa,14.26,/@Tannerites
bGVKn3OBUEY,CUTEST PROPOSAL EVER! COLE & SAVANNAH,28 332 243 katselukertaa,14.22,/@ColeAndSav
oGYHmRKMTi0,6 Year Old Everleigh and Her Mom Swap Bodies For 24 HOURS,27 761 409 katselukertaa,13.37,/@ColeAndSav
jD-AN2LCJz8,The Mailman Tricks Savannah And Az With Magic Water Remote!,25 657 123 katselukertaa,13.27,/@Tannerites
SVZXFDF1pZU,Birthday Girl Controls Our DAY for 24 HOURS! | Savannah Turns 12!,25 462 667 katselukertaa,15.30,/@Tannerites
dc_QQia1qGk,She Opened A Taco Bell Drive Thru At Our House!,23 730 555 katselukertaa,9.40,/@Tannerites
6zFObjV5Q5c,"MARKO GLASS - ""SAVANA""",22 131 985 katselukertaa,2.57,/channel/UC148PFodgzsr9BjoRbzhFPA
9ReCqwmhvj8,TwiN MerMaiDs WaTeR Jail!,19 904 091 katselukertaa,8.52,/@Tannerites
qLE8osDHFkk,Caught On Security Camera Doctor Visit In Our HOUSE!,19 496 938 katselukertaa,7.53,/@Tannerites
