Video Id,Title,View Count,Length,Channel
pWUJMwcPXPI,Are you guys serious?         It's just a BANANA 🤦🏻‍♂️,341 043 035 katselukertaa,0.19,/@guychovezov
-48KnPYRMb4,Serious aashiqs be like…😂 Ib- @harsimran attli #shorts #comedy #chetanmonga,154 973 692 katselukertaa,0.16,/@ChetanMongaVlogs
zugAhfd2r0g,ITZY “Cheshire” M/V @ITZY,139 508 052 katselukertaa,3.08,/@JYPEntertainment
QIULBHxbYCw,Scam 2022😂 #shorts #story #soulfulseries #trending #song #viralsong #lovestory,118 858 515 katselukertaa,0.21,/@SoulfulSeries
EkRVsEN9sEk,I take my martinis serious! #RegularSyrup,93 277 223 katselukertaa,0.58,/@jonnytsunami808_
IYM5pfJc-D8,Talking Tom Shorts 10 - Be Serious!,83 045 693 katselukertaa,1.13,/@TalkingTom
iRXJXaLV0n4,Try to stay SERIOUS -The most popular CAT videos,81 194 114 katselukertaa,10.13,/@TigerFunniesChannel
R-NtBew1S5k,Serious scene but when actor is jong Suk 😂#shorts #leejongsuk #w2w #sukkies,78 950 527 katselukertaa,0.11,/@sukkies3099
EmHT17M06fE,I'm wrong but ambulance serious 🚑🥺🙏 #bengaluru #lekirider #ambulance,75 845 124 katselukertaa,0.59,/@Leki_goswami
f1KwnXy3uvI,Watch till end | don't be serious #shorts,66 703 219 katselukertaa,0.36,/@KALOLPEDIA
dytvU-Z-H1k,ไม่อยากฟัง - SERIOUS BACON [ Official MV ],55 096 319 katselukertaa,5.19,/@boxxmusicofficial
hGo1qW4XP4w,Youtube has a serious problem,49 012 269 katselukertaa,0.44,/@jacksepticeye
4c0QsimNNuM,Swaragini | स्वरागिनी | Ep.131| Ragini Secretly Records Her Conversation With Swara | Colors Rishtey,39 839 070 katselukertaa,20.41,/@ColorsRishtey1
Nsh80AFHPks,Pelli ayina tarvata part-61 chelli vastoondi 😂😂🤭,38 266 850 katselukertaa,1.00,/@prashu223
Nq3x1AkwgpY,Charlie Puth - That's Hilarious [Official Video],33 644 735 katselukertaa,2.26,/channel/UCwppdrjsBPAZg5_cUwQjfMQ
XT8HrAyvhCo,"Believe ME! Dandruff can cause a serious Scalp ""INFECTION"" 😱 #shorts",33 215 987 katselukertaa,1.00,/@ProfessorOfHow
gqj0MJDa4Qg,"Teen Titans Go! - ""Serious Business"" (clip)",31 187 726 katselukertaa,1.07,/@dcofficial
9eiOC18MqTE,MattyBRaps - Serious (Kayla Cover),27 569 118 katselukertaa,2.43,/@funniflix
weqIaRLPfKA,I take everything seriously,26 055 722 katselukertaa,15.57,/@MSA.official
4f-GuUao8WQ,Film Serious Scene - ଭାଇ ମତେ ଭାରି କଷ୍ଟ ହଉଚି Bhai Mate Bhari Kasta Hauchi,24 149 100 katselukertaa,8.10,/@ODIAHD
