Video Id,Title,View Count,Length,Channel
1-Ux2LPCaIw,Charvas Division - Shipments [Track 3],498 688 katselukertaa,5.40,/channel/UCPWCf2Ev6pd-5Ey7Sr_moww
UA41hhCrl84,"Marky B - Charvas Division, Shipments “Bradford man with a plan to bang” (Lyrics)",235 838 katselukertaa,5.37,/@the.beatlocker
mdxMJ-rM1wY,Marky B Charvas Division ~ Shipments [Track 3]  (Intro Cut Out),8 585 katselukertaa,3.52,/@awaisa7455
z4N2jMDQ2SI,I Dropped 250 Kills + NUKE on Shipment! (Modern Warfare 2),37 176 katselukertaa,10.34,/@Tri2Sin
5QuX72rnVPU,"Lil Loaded ""Shipment"" (Official Audio)",630 647 katselukertaa,2.29,/channel/UCLjGsK2n0XFSiyYFINHKXgw
hYzi5FX3gZc,my 1 SHOT BRYSON 800 SHOTGUN will ruin Shipment forever.. (Best MW2 Class),42 332 katselukertaa,15.30,/@Braderz
qxUHRV0DX5E,I Dropped 1000 KILLS on Shipment 😲 (Modern Warfare 2),42 217 katselukertaa,15.03,/@Tri2Sin
E37rlth57Xs,"NEW SHIPMENTS FROM CHINA, FRIDGE ORGANIZERS, TUMBLERS, PAMPAS GRASS, EUCALYPTUS// HOME DECOR||HAUL",164 katselukertaa,11.32,/@evandunde
TJo-xajORwY,"Sci-Fi Short Film: ""The Shipment"" | DUST",3 704 596 katselukertaa,31.08,/@watchdust
ePpFJF02SIM,Sea of Thieves: Lost Shipments Voyage Guide,175 188 katselukertaa,7.40,/@RareThief
oWDEaTI_Wio,NOOB on SHIPMENT! (Modern Warfare 2 Shipment Gameplay) 600 abo spezial,31 katselukertaa,10.14,/@gaming4you552
fxmCAzIxzE4,236 Kills + NUKE on SHIPMENT With #1 CLASS SETUP! (Modern Warfare 2 Shipment Gameplay),29 124 katselukertaa,12.37,/@Boerkampies
thLPc2aGgNU,The Right route for Lost Shipments | Sea of Thieves,124 756 katselukertaa,7.40,/@PhuzzyBond
8d5d_HXGeMA,How Ocean Shipping Works (And Why It's Broken),3 809 872 katselukertaa,19.18,/@Wendoverproductions
UMCx3zPHJxo,175 Kills + NUKE on SHIPMENT! (Modern Warfare 2 Shipment Gameplay),130 683 katselukertaa,8.45,/@Boerkampies
isHjPolYg_c,SHIPMENT 24/7 CAMO GRIND + WARZONE 2 CHILL STREAM,18 632 katselukertaa,6.25.32,/@Wynnsanity
k-KvaO1agAM,I have played SHIPMENT for over 10 days and I don't know how I'm still going,569 606 katselukertaa,6.32,/@Jev
W9d5DqBr3Sg,Call of Duty's Smallest Map is Insane.,228 618 katselukertaa,17.48,/@BASH_YT
oC1OGhnJyAY,Solo Stacking LOST SHIPMENT VOYAGES For Merchant Alliance! | Spring Shipments,55 990 katselukertaa,14.45,/@Trunath
ZkgWqfXDGEM,EVERY CALL OF DUTY SHIPMENT MAP RANKED!!! (Worst to Best),7 770 katselukertaa,8.44,/@Xpertfusion
