Video Id,Title,View Count,Length,Channel
GurkREc-q4I,IN THIS MOMENT - Whore (OFFICIAL VIDEO),126 351 862 katselukertaa,5.08,/@centurymedia
wwC4fjs3b7Q,JVLA - Such a Whore (Stellular Remix),48 729 404 katselukertaa,2.29,/@Gloamed
XjQvk_R20r4,Papa Roach - Hollywood Whore (Explicit Version),38 376 456 katselukertaa,4.06,/channel/UCeekxg1vju_sjIK9KjJJLYg
8Bm6eaIPNts,Machine Gun Kelly - Hollywood Whore (Official Music Video),33 291 145 katselukertaa,3.28,/channel/UCUs8sGiP4avNaYNVO22INhQ
uGjCUY59B_0,Bea Miller - S.L.U.T. (Official Video),22 794 746 katselukertaa,3.07,/channel/UCkF8oWqxcjksV7L6i_2r10Q
rsylu7OXTJM,Nightcore - S.L.U.T. (Lyrics),20 270 774 katselukertaa,2.43,/@NightcoreZodiac
rpOjFiV0X6k,Such a Whore (Potato Remix),17 861 933 katselukertaa,2.45,/channel/UCgPgHH-ysWWMj_U25WjzA6g
IFBXY61-14U,NLE Choppa Feat. @SexyyRed - Slut Me Out Remix (Official Video),17 638 258 katselukertaa,3.28,/channel/UCWICXNlSLc7eeNazpzUZcLg
m1FeIlIU_d4,CADET SLUT FREESTYLE | Video by @1OSMVision [ @CallMeCadet ],17 044 737 katselukertaa,4.27,/@1OSMVision
iss7pgQbQmo,NLE Choppa - Slut Me Out (Official Music Video),14 494 730 katselukertaa,2.25,/channel/UCWICXNlSLc7eeNazpzUZcLg
cHIACZaIH2c,FendiDa Rappa 'Point Me 2' (with Cardi B) [Official Video],12 834 283 katselukertaa,4.16,/channel/UC-lD7SuIcZq_-wwAi-__fcA
wWGer07Aa-E,Horror Short Film “Slut” | ALTER,11 960 978 katselukertaa,18.44,/@WatchALTER
bSkBwpmMyKY,S.L.U.T.,11 736 878 katselukertaa,3.00,/channel/UCkF8oWqxcjksV7L6i_2r10Q
QXCNEvRHmxk,ppcocaine - S.L.U.T. (Official Music Video),10 284 004 katselukertaa,1.56,/channel/UCQQrs40oDr157oma0O6Dl9g
rxSNPVtF5RI,S.L.U.T  - Bea Miller (Lyrics),10 176 535 katselukertaa,2.59,/@laura1100
CTJjlDEodVo,P!nk - Slut Like You (The Truth About Love - Live From Los Angeles),9 671 832 katselukertaa,4.43,/channel/UCE5yTn9ljzSnC_oMp9Jnckg
WJguF5Om1Ko,S.L.U.T. || Bea Miller Lyrics,9 200 691 katselukertaa,3.06,/@fangirllyrics
9HTI4lDs4yc,NLE Choppa - Slut Me Out (Lyrics),8 220 460 katselukertaa,2.04,/@hiphoprnblyrics1
blsMgamQuNk,Cadet - Slut (Official Video) | @CallMeCadet | Link Up TV,5 439 337 katselukertaa,4.24,/@linkuptv
LYSvEbiV0-Y,Kim Petras - XXX (Audio),5 124 487 katselukertaa,2.05,/channel/UChAjsnxIhU-3WZ8aSxE650A
