Video Id,Title,View Count,Length,Channel
38y_1EWIE9I,Snack Attack,54 410 574 katselukertaa,4.42,/@eduardoverasteguitv
AHCu2LLT9CA,SML Movie: Junior The Snack Dealer!,24 736 257 katselukertaa,11.52,/@SMLMovies
32HG5UYPs1w,Ms Banks - Snack (ft. Kida Kudz),10 375 755 katselukertaa,3.37,/channel/UCfDjAp4wQg5BZIh6-q0EqYA
oZBnCfb5TQY,Daniel Kaluuya Rates American & British Snacks | Snack Wars | @LADbible,601 676 katselukertaa,9.13,/@LADbible
6mrw288wg2E,15 Ways to Sneak Snacks into the Movies/ How to Sneak Candies into a School Bus!,4 926 524 katselukertaa,10.16,/@WooHoo-en
N-MMyKxjka8,SNACK - V RAJU (Official Music Video),23 798 katselukertaa,3.05,/@MENARTsLOVEnija
re9omXCnCqQ,ANDY BUMUNTU - SNACK [Official Video],995 462 katselukertaa,2.55,/channel/UCG1C-MVpcyMNORjsSd00qAg
fGTSLhO-dAw,Ms Banks - Snack (Lyrics) Featuring Kida Kudz,90 867 katselukertaa,3.31,/@CloudLyrics
HB_pcbIP5uA,"[RUNNINGMAN] If he succeeds, he gets 1.5kg back. Otherwise, he gets a penalty badge. (ENGSUB)",42 821 katselukertaa,27.42,/@SBS_sNack
iARG9TXtlFI,17 Microwaveable Late-Night Snacks,10 546 626 katselukertaa,10.28,/@buzzfeedtasty
o61b33Yw7W4,HEALTHY SNACKS | to meal prep for the week (super easy!),1 973 701 katselukertaa,13.21,/@Downshiftology
5OOysoA71yU,5 Quick Snacks To Make For Your Next Party | From The Test Kitchen | Bon Appétit,681 427 katselukertaa,15.08,/@bonappetit
qim6FpNBGOQ,Ryan Gosling Tries British Snacks For The First Time | Snack Wars | @LADbible​,2 953 148 katselukertaa,8.18,/@LADbible
EId-Bl5OhAE,I ate every single Italian snack.,5 235 704 katselukertaa,27.26,/@PewDiePie
t4dry2UV9MU,[SNACK YOUR CHOICE] Running mans best opening segments (ENGSUB),490 310 katselukertaa,35.58,/@SBS_sNack
ge4ws1-EP2w,Issa Snack Remix (Official Audio) | Nessa Preppy x Machel Montano x HoodCelebrityy x Travis World,6 218 612 katselukertaa,3.28,/channel/UCSe-VWoq4gumFruTLcRNSww
8QwTof9lfgU,Trying Exotic Snacks for the FIRST TIME! **mouth watering**,8 505 914 katselukertaa,17.07,/@rug
og58R1nfzkU,73 Snacks From Tasty,2 945 261 katselukertaa,51.04,/@tastyrecipes
