Video Id,Title,View Count,Length,Channel
_uSZwErdH3I,Solitary Confinement: Last Week Tonight with John Oliver (HBO),3 879 393 katselukertaa,20.12,/@LastWeekTonight
ih6Y6XmLbe4,ＳＯＬＩＴＡＲＹ,21 868 katselukertaa,2.59.28,/@helpme.x
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,293 783 569 katselukertaa,15.52,/@MrBeast
yLilTP5WAU0,Neil Diamond - Solitary Man (Audio),94 842 katselukertaa,2.34,/channel/UCtPHmTX4_qC_h5cerkmLThQ
nnFhTObHDKE,SOLITARY SAMURAI - 10 HOURS - HANS ZIMMER - JAPANESE MUSIC RAIN MEDITATION - ASMR - 4K -,1 272 789 katselukertaa,10.04.40,/@RainMaster
Ewiue1nZcSc,Solitary Experiments - Every Now And Then (Official Music Video),393 506 katselukertaa,5.34,/@OutOfLineMusic
ehKvpIc3HEs,guardin - solitary (Official Music Video),3 849 561 katselukertaa,3.53,/user/daemonastvri
8eqTqKlLtVs,"Roblox Solitary, but with a steering wheel!",121 464 katselukertaa,9.45,/@Goosiest
FTDZnbPjPQU,The Box: Spending 27 years in solitary confinement | Fault Lines Documentary,311 896 katselukertaa,25.00,/@aljazeeraenglish
x-05M6zK56c,HIM - Solitary Man,3 956 112 katselukertaa,3.36,/channel/UCM10srINLaSQFrcDVmHV0gA
Y7ONTHp9-jc,Solitary Man,3 048 630 katselukertaa,2.24,/channel/UCLwdOhL6TKbmjRtZ8wIr-Bg
-OVHnWyDmdw,Johnny Cash - Solitary Man,19 133 796 katselukertaa,2.27,/@JCNSoul
3IatNELDdQU,Solitary,845 290 katselukertaa,3.54,/channel/UCRzYI49yTYg1tSpfW-S2LTA
k69P7V5Y3ng,Michael & The Q-Shaman | Locked In Solitary Confinement For 10 Months,364 991 katselukertaa,2.11.30,/@MichaelKnowles
7jJP-MeAbXo,Malie Donn - Solitary (Official Audio),151 686 katselukertaa,2.38,/@maliedonnvevo631
wxKE4eEiYVM,ROBLOX Solitary - How to 360,16 085 katselukertaa,1.50,/@okgaming1936
URru1xColYg,"[Solitary daily life] vlog) Living alone, Just daily life",61 332 katselukertaa,10.55,/@wooseok
