Video Id,Title,View Count,Length,Channel
dfjSNvL4eWw,Quando Rondo - Speeding [Official Music Video],4 983 592 katselukertaa,3.42,/channel/UCLr1r2bBAwBPG3KJubtYyyg
kCeEN-VVSac,Rick Ross - Speedin' ft. R. Kelly (Official Video),31 473 011 katselukertaa,4.24,/channel/UCHO1BdBZw927UtUGhxYOGwA
7TOCO7QnMzQ,SPEEDING,96 540 katselukertaa,1.54,/channel/UCYNOkw1I7q39QSVVFjaCePw
w5h4yJ-BpL4,Walking On Cars - Speeding Cars,49 031 664 katselukertaa,4.15,/channel/UCZlWg6MtbqaflaNYm1KjWRA
bvslDqVtueA,Omarion - Speedin' (Official Video),15 540 661 katselukertaa,3.54,/channel/UC0t3ejibUQ91s12D4NAaU7A
9W32iHzm1o4,IShowSpeed Exclusive Interview | Speed Takes On Messi Vs Ronaldo Quiz | Sidemen Match Reaction,237 543 katselukertaa,17.59,/@5magazine
EK8QIR0T1BI,Pete & Bas - Speeding [Music Video] | GRM Daily,892 478 katselukertaa,2.45,/@Grmdaily
APeAJu37wN4,Eminem - Speeding.,6 061 katselukertaa,4.24,/@rapperecidproduct.2135
HoqP4v0U-rs,"Ninski, COOL KICKS & Nino Lucarelli - Speeding (Lyrics)",341 313 katselukertaa,2.54,/@SensualMusique
AjbAMKk123g,Smokez X TenSe - Speeding [Music Video] | GRM Daily,12 192 katselukertaa,3.17,/@Grmdaily
lcPVhPo47k0,Speeding,137 508 katselukertaa,3.27,/channel/UC7qDrEchI-Kv0BnY3G9jx3g
TP1d10__P0Y,SML Movie: Jeffy's Speeding Ticket!,34 148 087 katselukertaa,14.43,/@SMLVideos
aMQ7J1M_7PE,"INSTANT KARMA AT BEST|Drivers busted by cops for speeding,brake checks, Bad driving|Instantjustice",7 052 827 katselukertaa,18.00,/@RevItUp01
s9xKJw2jywA,"Speeding Maserati Eludes FHP Trooper, Regrets It Instantly",436 604 katselukertaa,15.13,/@Scooper22
2OS50yPOiI4,Slatt Zy - Speeding (Official Video),259 956 katselukertaa,3.17,/channel/UCz79zj98E037KlvV7THmurQ
FMVORx8jnHU,DAVID ARLO - Speeding (Official Video),85 065 katselukertaa,2.58,/@DAVIDARLO
wXKc-BdiA1I,Dutchavelli - Speeding (Prod By Michelin Shin) [Music Video] @DDutchOnline | Link Up TV,421 364 katselukertaa,3.41,/@linkuptv
OJcYxdDxStw,The real reason Germans won't stop speeding,249 159 katselukertaa,11.52,/@DWPlanetA
S-bEn3B5uYE,Speeding,164 093 katselukertaa,2.38,/channel/UCOBgtIp6ge-EnATEAdU8EXQ
QKzl2MdSWiI,Suspect OTB  - Speeding And Weaving (ft Chiief Diin & Idea The Artist),71 527 katselukertaa,3.04,/channel/UC8G49MYwZ3qZcbepMrWnA8g
