Video Id,Title,View Count,Length,Channel
fjiBKvrX9Zo,All About Spelt! | What is Spelt? | How to Use Spelt? | How to Use Ancient Grains |Meet the Grain |,5 952 katselukertaa,9.53,/@GrainsandGrit
PJM2Cw4JRC8,My teacher told me I spelled my name wrong! #shorts #teacher #funny #slime #asmr #storytime,5 742 424 katselukertaa,0.48,/@mrs.woolleyin5th
VMj-3S1tku0,The spelled-out intro to neural networks and backpropagation: building micrograd,1 004 113 katselukertaa,2.25.52,/@AndrejKarpathy
2Y3gNcQiu_U,When Ocean Was Spelled FEAR,339 074 katselukertaa,7.55,/@animalogic
ozqluN8Eg0s,"Spelled the SAME, Pronounced DIFFERENTLY 😵 Correct English Pronunciation",171 111 katselukertaa,14.44,/@mmmEnglish_Emma
a_YotN22gd0,SPELLED MOD,1 691 katselukertaa,23.31,/@BaboyDanny
oEUPKtGlN5M,"Why is it spelled ""camouflage""",389 808 katselukertaa,0.09,/@JeaneyCollects
KqpkNO8sXEo,Words That Look Weird When Spelled,30 560 katselukertaa,1.14,/@malwrld
Kg68Fnb258Y,"Same spelling, different pronunciation 🇬🇧",1 033 779 katselukertaa,0.46,/@englishwithantonio
PaCmpygFfXo,The spelled-out intro to language modeling: building makemore,352 739 katselukertaa,1.57.45,/@AndrejKarpathy
6wMwHCa73bM,Why are some words spelled differently in the Holy Quran? - Arabic101,115 891 katselukertaa,9.48,/@Arabic101
zfZhReSOP9w,To a Child - Love is spelled T-I-M-E: A Short Inspirational Film,333 706 katselukertaa,4.24,/@simpletruthstv
KBIXvwehayg,They spelled ransom wrong!,1 427 katselukertaa,0.10,/@jimpixj2513
QIha32CJpCg,Difference between spelled and spelt,1 046 katselukertaa,1.08,/@HotpepperCa
CQjXqds4XEI,Which word in the dictionary is spelled incorrectly,12 385 katselukertaa,1.16,/@FunnyandInterestingThings
IoL3UwQuYYw,5 Incredible Health Benefits Of Spelt,15 379 katselukertaa,3.05,/@Foods4Health
PSGymQNQWUs,Which Word Is Spelled Incorrectly? #challenge 2,3 261 katselukertaa,8.48,/@englishtestsandlogic
DAeG5Vauj38,Spelled Moon - A War Of Shadows - Official Video -,10 624 katselukertaa,7.53,/@SpelledMoonofficial
4KG9XdKUlvQ,GOD spelled backward is DOG,2 296 katselukertaa,0.39,/@buddyandmikespal
