Video Id,Title,View Count,Length,Channel
129kuDCQtHs,Bruce Springsteen - Dancing In the Dark (Official Video),330 163 616 katselukertaa,3.59,/channel/UCcu7ANuD9J7hnTQCREqIc4Q
4z2DtNW79sQ,Bruce Springsteen - Streets of Philadelphia (Official Video),184 283 567 katselukertaa,2.58,/channel/UCcu7ANuD9J7hnTQCREqIc4Q
gp5JCrSXkJY,Buffalo Springfield - For What It's Worth 1967,67 312 616 katselukertaa,2.38,/@PettyYou007
qYkbTyHXwbs,Rick Springfield - Jessie's Girl (Official Video),60 491 466 katselukertaa,3.16,/channel/UCw_S6u3d7674uyzqgyLsJUA
v9j2BVSuha4,Trying food from The Simpsons in REAL LIFE!,38 762 914 katselukertaa,11.24,/@luisitocomunica
1eD-8NTwP9I,For What It's Worth,24 076 665 katselukertaa,2.34,/channel/UCH-BBvNWh1CONPAjpeocGcw
dp4339EbVn8,Dusty Springfield - Son of a preacher man,21 239 472 katselukertaa,2.26,/@gferdinandus
rcEWVdL_fIo,Son Of A Preacher Man,19 803 108 katselukertaa,2.25,/channel/UCeaE6DwTIEIFrk4K8kXB9LA
S3FtIuVNY8k,Film Theory: We FOUND The SIMPSONS!,19 437 253 katselukertaa,12.49,/@FilmTheory
bjSpO2B6G4s,Buffalo Springfield - Stop Children What's That Sound,18 772 355 katselukertaa,2.41,/@ysndkn
IqRdzZNFX-o,น้องบีม | เที่ยวเพชรบุรี Springfield@Sea Resort and Spa คลิปเต็ม,18 635 234 katselukertaa,1.02.49,/@Beam_copphone
osVaF4t-zFc,"""I Only Want to Be with You""     Dusty Springfield",18 595 802 katselukertaa,2.36,/@catman916
f5M_Ttstbgs,Buffalo Springfield - For What Its Worth (good sound quality!),14 441 374 katselukertaa,2.43,/@circle2491
B7EE1YPRS9Q,LEGO Dimensions A Springfield Adventure Level Pack Walkthrough,12 600 025 katselukertaa,20.05,/@deathmule
QR4vE9xL3yk,Dusty Springfield You Don't Have To Say You Love,12 023 810 katselukertaa,3.03,/@willybeable
RG3dM3-Ev-c,Springfield Trapdoor POV: Shorts Edition,11 831 541 katselukertaa,0.36,/@TenaciousTrilobite
bnnRIrxGGX8,Missouri's Mysterious Disappearance -  VANISHED Springfield 3 | Mystery and Makeup Bailey Sarian,11 504 549 katselukertaa,53.40,/@BaileySarian
1mIkswcZPGg,Tactical Swordfish AR-15 (Springfield Edge ATC),9 286 032 katselukertaa,0.47,/@JaegerZ999
WIW4fJKPTRQ,Martin Tungevaag & ItaloBrothers - Springfield (Video Edit),8 959 068 katselukertaa,3.05,/@zoolandtv
oAZLgsDRUv4,Dusty Springfield - Son of a Preacher Man (Official Audio),8 015 036 katselukertaa,2.30,/@rhino
