Video Id,Title,View Count,Length,Channel
5DOoVDUkoQk,M&M'S STUCK IN NOSE!,676 588 011 katselukertaa,3.02,/@JesseAndMike
7XT0AIHdMxQ,Toys gets stuck on mom's face / Vlad and Niki,247 856 613 katselukertaa,4.09,/@VladandNiki
pE49WK-oNjU,Ariana Grande & Justin Bieber - Stuck with U,219 212 480 katselukertaa,4.18,/channel/UC9CoOnJkIBMdeijd9qYoT_g
h2jvHynuMjI,"Ariana Grande, Justin Bieber - Stuck with U (Lyric Video)",188 244 563 katselukertaa,3.50,/channel/UCIwFjwMjI0y7PDBVEO9-bkQ
yEA3qaB0dH8,Stuck with U,171 989 995 katselukertaa,3.49,/channel/UCIwFjwMjI0y7PDBVEO9-bkQ
xveKKESy-YM,M&M'S STUCK IN MY NOSE!,171 320 898 katselukertaa,2.05,/@MandeepThakurOfficial
wDHlugBpmnA,Nikita ride on children's car and stuck in a puddle,159 666 499 katselukertaa,3.08,/@VladandNiki
52Gg9CqhbP8,Stuck In the Sound - Let's Go [Official Video],139 520 791 katselukertaa,3.35,/channel/UCZqu2qNltpvZxuPr2w3BzSA
b25g7NtxIGQ,Can You Walk on Rodent Glue Without Getting Stuck? | MythBusters Jr.,109 508 054 katselukertaa,2.00,/@sciencechannel
z3B4JsBx1Ro,Cat Head Stuck In Metal Window,102 168 265 katselukertaa,0.56,/@supportvoiceless
PMNPTfAouUc,M&M'S STUCK IN NOSE 😂 #shorts #funny #viral,98 371 259 katselukertaa,0.46,/@FunnyClubTV
bAqz0AwLRjk,Lionel Richie - Endless Love ft. Shania Twain,91 369 049 katselukertaa,4.24,/channel/UCM3iG_kXUM_9HHVIDI7vEtg
VesjwsyqZGg,M&M'S STUCK IN EAR!,89 759 640 katselukertaa,2.58,/@JesseAndMike
7LOkOcbK6rA,Heidi Playing on the Beach and get Stuck in the Sand,88 506 835 katselukertaa,4.21,/@hzhtubekidsfun
DeTK_tJW2Lc,Sea Turtle Stuck On Remote Mud Flats..,86 498 817 katselukertaa,0.49,/@ybsyoungbloods
5wObU1MyLLA,MY CLIENT GOT SOMETHING STUCK IN HER FINGER?😳🤢,86 358 106 katselukertaa,0.30,/@anacrylics
ln7Vn_WKkWU,Stuck In The Middle With You,85 672 467 katselukertaa,3.29,/channel/UC8RsLN8kqMVBwgN5Ppn6vwQ
_IdRmh-W598,CRAZY PRANK😱|| Help! He's stuck in the wall! || THE FAKE legs😂 || How to prank your friends #shorts,83 498 153 katselukertaa,0.39,/@SMOL_official
9I4NeKyzygk,PLAY DOH STUCK IN EYEBROW!,82 046 521 katselukertaa,2.45,/@JesseAndMike
YhsTB4rq1XU,Lionel Richie - Stuck On You (Lyrics),78 471 608 katselukertaa,3.12,/@RewindMusicGroup
