Video Id,Title,View Count,Length,Channel
77jxA_e5dOQ,Suggestions,873 216 katselukertaa,2.45,/channel/UC7-YMmnc0ppcWmio8t1WdcA
JVXzXNR7hCk,Suggestions,443 381 katselukertaa,2.44,/channel/UC7-YMmnc0ppcWmio8t1WdcA
19bC0Awwi-8,I make YOUR NPCs are becoming smart ending suggestions! (Part 3),4 686 171 katselukertaa,18.07,/@GroovyDominoes
QDCcuCHOIyY,The Power of Suggestion,89 220 549 katselukertaa,28.49,/@Vsauce
S7532uo3Z3Y,Making suggestions is easy | Learn English Conversation,188 255 katselukertaa,10.25,/@LearnEnglishwithJessica
7rASGknTU4o,Suggestion,594 007 katselukertaa,4.45,/channel/UC2cjwtJB5rzpMetjDlnjGHg
sue8lHwvmUE,Dr. Joseph Murphy - The Unbelievable Power Of Suggestion (963hz),40 452 katselukertaa,1.03.34,/@BrianScott1111
1MMM1OwdaGM,I make YOUR NPCs are becoming smart ending suggestions! (Part 1),5 957 866 katselukertaa,17.48,/@GroovyDominoes
7wT7BzAoyj0,Making Suggestions in English - Spoken English Lesson,145 292 katselukertaa,10.16,/@Oxfordonlineenglish1
wTdTvpy5IIo,System Of A Down - Suggestions live 【Rock Im Park | 60fpsᴴᴰ】,578 958 katselukertaa,3.05,/@ObeyYourSysteM
2zyca6fGo4A,Making suggestions is easy - 03 - English at Work shows you how,590 312 katselukertaa,4.31,/@bbclearningenglish
Q5JOHYn9YHg,unPHILtered: The Power Of Suggestion Explained,19 584 katselukertaa,2.18,/@drphil
ZF602iA65HQ,System of a Down - Suggestions Lyrics,802 368 katselukertaa,2.40,/@slorr55
4dZGA7sfOdM,Suggestions,121 905 katselukertaa,4.15,/channel/UCIHEb3mkrsBuM-DUbXyg63w
0eg6-5vmCZc,Suggestions- Orelia (with lyrics onscreen),704 851 katselukertaa,4.16,/@livinghereinlalaland
ZAW1lQOYY3A,Suggestion- It Might Be A Chicken,5 452 katselukertaa,3.02,/@ItMightBeAChicken
Sse2FKrC_DE,How to make suggestions in English,388 387 katselukertaa,8.02,/@engvidJade
bVDmFm0FxmM,Fugazi-Suggestion-1991,226 073 katselukertaa,6.35,/@peyoteshaman
pt3MVvcuf14,THE UNBELIEVABLE POWER OF SUGGESTION | FULL LECTURE | DR. JOSEPH MURPHY,37 539 katselukertaa,29.51,/@TimelessKnowledge
dMhw5r4b0Gw,Suggestion- One Man Enter (Two Men Leave),29 590 katselukertaa,4.27,/@ItMightBeAChicken
