Video Id,Title,View Count,Length,Channel
emRxV6bV1CY,Barbie Doll Supermarket Grocery Shopping Poupée Supermarché Lebensmittel Einkaufen باربي محل بقالة,308 748 265 katselukertaa,12.03,/@FunFunMiniWorld
bYBWCd1gtHw,Diana and Roma Pretend Play SuperMarket,211 941 204 katselukertaa,4.39,/@KidsDianaShow
bIB8EWqCPrQ,Ed Sheeran - Supermarket Flowers [Official Audio],151 875 624 katselukertaa,3.42,/channel/UC0C-w0YjGpqDXGB8IHb662A
o-0t9cdY7Q8,Grocery Store Song | CoComelon Nursery Rhymes & Kids Songs,140 043 576 katselukertaa,3.09,/channel/UCbCmjCuTUZos6Inko4u57UQ
JHiLEkV8l_8,Grocery Store Stereotypes,110 307 272 katselukertaa,6.37,/@dudeperfect
NRQ59cdd9iU,Emma Pretend Play Shopping with Giant Grocery Store Super Market Toy,98 285 769 katselukertaa,7.49,/@toysandcolors
tohbSc5F5OY,CAN RONALDO ESCAPE THE SUPERMARKET?? | Roblox Obby,92 610 695 katselukertaa,17.44,/@EthanGamerTV
Q8CtENE7CvE,Emma Pretend Play Shopping w/ Kids Grocery Supermarket Food Toy Store,89 097 523 katselukertaa,14.11,/@toysandcolors
UqC17Udai3Q,Best supermarket scene ever!!!,81 732 179 katselukertaa,1.01,/@westarmoney
BaKwRXMoL1Q,Supermarket Flowers - Ed Sheeran [Lyric],67 584 730 katselukertaa,3.35,/@vincentgap7089
ML_lYNf1Abc,I Love to Shop Supermarket Barbie Grocery Shopping Toko kelontong Barbie Puppe Supermarkt,56 983 331 katselukertaa,10.30,/@FunFunMiniWorld
7tUY7_eJQG0,Despicable me - Minions at supermarket,56 306 228 katselukertaa,1.11,/@VladoPiljak
-NC5mNS4Qrw,A Werewolf in the Supermarket,56 021 915 katselukertaa,3.48,/@BoxofficeMoviesScenes
hLqe2xJEHJk,Shfa learns health food in supermarket,54 774 654 katselukertaa,3.55,/@shfastories5312
MbDFd6UB_mY,Shopping at Lego Supermarket Store For Food,53 052 568 katselukertaa,13.57,/@Cookieswirlc
gCJpWzDMVnE,Richard Hammond and team play Supermarket Sweep in Hatchbacks | Top Gear - BBC,42 306 132 katselukertaa,4.20,/@BBC
AMF4heqAuaM,Pari ka New Supermarket Store | Kids Playing With Super Market Play Set (Moral Story ),42 146 553 katselukertaa,11.21,/@parislifestyle7488
dKeCRikTyGY,Grocery Store Song + More Nursery Rhymes & Kids Songs - CoComelon,42 141 575 katselukertaa,35.14,/channel/UCbCmjCuTUZos6Inko4u57UQ
ad_higXixRA,Billionaire Bill Gates Guesses Grocery Store Prices,40 573 131 katselukertaa,4.20,/@TheEllenShow
FVae7FR_vto,TOY Hunt Shopping In Supermarket - Power Wheels Ride On Car | Toys AndMe,39 771 051 katselukertaa,10.41,/@Tiana07
