Video Id,Title,View Count,Length,Channel
yE1Lxw5ZyXk,Susan Boyle's First Audition 'I Dreamed a Dream' | Britain's Got Talent,26 030 402 katselukertaa,6.48,/@BGT
KX-Rvbj3U4g,The Buckinghams ~ Susan (Stereo),245 635 katselukertaa,2.57,/@themagicsinthemusic3810
tGYLzmanUZE,S.u.s.a.n Boyle Best Songs - S.u.s.a.n Boyle Greatest Hits 2020,2 243 070 katselukertaa,1.24.59,/@jesusineedyou3665
nRS1q2Zg6l0,Why People Choose Someone ‘Lesser’ @SusanWinter,2 074 katselukertaa,1.04.20,/@SusanWinter
RGpFz4TkzQU,Cooking By Heart with Susan Sarandon,2 493 katselukertaa,59.04,/@CookingByHeartPodcast
gqUsKFL4QDY,"Supreme Court Investigated, Lindsay Flips, Alabama Erupts, Abrams Ascends- Psychic Spirit Guide Q/A",17 206 katselukertaa,1.04.54,/@SusanLynnPsychicMedium
itOgJDowp9Q,Susan,1 608 834 katselukertaa,3.37,/channel/UCY1hFvGV9oMn1WGB5glQfeg
nJiOcAJa4kw,Susan Boyle's First Audition | Simon's Most Memorable Auditions | AGT 2023,1 012 261 katselukertaa,4.54,/@AGT
_zZPLohsmO0,The Susan Boyle Audition on BGT (HD) | Best of the Best,856 106 katselukertaa,6.40,/@top10talent
-YQhmSsEST4,Susan Boyle - Unchained Melody (Live),13 885 221 katselukertaa,4.07,/channel/UCDwM1WXb_9Bw7FSrm_DVCFA
kBnYCUgzjpU,Episode 2|| Battered Bruised not Broken with Susan Thomas| QueensMindset.net,61 katselukertaa,1.11.33,/@queensmindset
e50k5ioZnro,The Soil ft Khuli Chana - Susan (Official Music Video),2 264 040 katselukertaa,3.40,/@nativerhythmsproductions8578
RxPZh4AnWyk,Susan Boyle - Britains Got Talent 2009 Episode 1 - Saturday 11th April | HD High Quality,262 288 366 katselukertaa,5.50,/@DavyLeyland
r0ogG9_FBWI,Susan Boyle & Elaine Paige #SusanBoyle,23 078 593 katselukertaa,3.53,/@surethom
OKbm90w14Cg,Susan Boyle & Barbra Streisand..Send In The Clowns..(Mix) from A Little Night Music,3 132 831 katselukertaa,4.43,/@MrAydinIreland
g3f5xbB-F48,Susan Boyle - You Raise Me Up - Children In Need 2013,3 397 796 katselukertaa,4.45,/@TheSBFII
bQbBDRQMGWo,Harvest RED CHICKEN goes to the market sell | Susan Daily Life,27 483 katselukertaa,3.09.51,/@susandailylife
DJIDr15duZk,Susan Boyle sings Wild Horses on America's Got Talent 2009,21 469 270 katselukertaa,7.17,/channel/UCDwM1WXb_9Bw7FSrm_DVCFA
-gZ8c1WDVh8,LNDN DRGS - Susan (Official Video),500 684 katselukertaa,2.58,/@Noisey
