Video Id,Title,View Count,Length,Channel
KTOwPz-zMWY,Yes Yes Playground Song | CoComelon Nursery Rhymes & Kids Songs,2 980 053 704 katselukertaa,4.07,/channel/UCbCmjCuTUZos6Inko4u57UQ
aadGiDqoTYo,Fun Indoor Playground for Kids and Family at Bill & Bull's Lekland,865 302 820 katselukertaa,9.38,/@FamilyPlaylab
mBjH5DG19R4,"Dogs (Buster & Jazz) panic when owner swings out and falls into lake, then swim out to rescue him.",526 651 636 katselukertaa,0.37,/@JohnnyDD
h0ffIJ7ZO4U,Dire Straits - Sultans Of Swing (Official Music Video),280 981 391 katselukertaa,4.27,/channel/UC9HKX4sDEYdgDEQTV9iy9yw
Bo5hepNudl0,Pop Smoke - Mood Swings (Audio) ft. Lil Tjay,251 483 421 katselukertaa,3.36,/channel/UCSaPKJpNd-Mkm6hhelIYSlQ
cF3OWCYLLVQ,Sultans Of Swing,172 860 981 katselukertaa,5.49,/channel/UC9HKX4sDEYdgDEQTV9iy9yw
0fAQhSRLQnM,Dire Straits - Sultans Of Swing,171 048 123 katselukertaa,5.47,/@Diablo4643
bgtw65fCNfA,Fun Playground for Kids - Slide and Swing,156 505 602 katselukertaa,5.33,/@Babyentertainer
mM8ostx0Ub8,POP SMOKE - MOOD SWINGS ft. Lil Tjay (Official Video),156 172 815 katselukertaa,4.15,/channel/UCSaPKJpNd-Mkm6hhelIYSlQ
eppwCiJGtxg,"The AMAZING SPIDER-MAN in Real Life  - Parkour, Flips & Swings",154 673 871 katselukertaa,3.00,/@VSGAG
BwQZTGMvYoY,Mood Swings,130 585 763 katselukertaa,3.34,/channel/UCSaPKJpNd-Mkm6hhelIYSlQ
uoO_fw60-CM,The way it FELL off the balcony!😳,109 559 898 katselukertaa,0.33,/@TheMcFiveCircus
LBKaHF--UsA,Swing 😂😂😂,106 660 462 katselukertaa,0.16,/@sizzuliki
NsL56gvWXC4,"Chimp escape: Primate swings from live power lines, falls from electricity pole",104 028 842 katselukertaa,1.54,/@euronews
ipvEIZMMILA,AronChupa - Little Swing ft. Little Sis Nora | OFFICIAL VIDEO,103 822 713 katselukertaa,3.50,/channel/UC3dFWgPq2TrEqE114tGNNzQ
3lmWfJiIlP0,￼Swing Accident 😨☠️,95 367 850 katselukertaa,0.08,/@RemusBujor
Sqp0VRyLjBA,Peppa Pig - The Playground (full episode),87 129 763 katselukertaa,4.49,/@PeppaPigSurprise
6-yc-IHhTOE,Fun Outdoor Playground for kids | Entertainment for Children Play Center,85 308 902 katselukertaa,30.17,/@LoLoKids
0RYTD8uDqWU,Danny Ocean - Swing (Official Music Video),82 360 599 katselukertaa,2.35,/channel/UC8OjoQHmGd7fDWluxKlQGdg
f5Ov_n0crZ8,Huge Awesome Park With Sliding Hills!,80 486 514 katselukertaa,7.39,/@familyfunpack
