Video Id,Title,View Count,Length,Channel
nfWlot6h_JM,Taylor Swift - Shake It Off,3 337 472 806 katselukertaa,4.02,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
nn_0zPAfyo8,Taylor Swift – august (Official Lyric Video),79 525 987 katselukertaa,4.24,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
WPB3sDqEHlM,Taylor Swift - Style (Lyrics),1 963 113 katselukertaa,3.52,/@vibemusic.
-CmadmM5cOk,Taylor Swift - Style,795 894 116 katselukertaa,4.03,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
JLJcHbYSlB8,Taylor Swift - Cruel Summer,12 590 416 katselukertaa,3.00,/@LatinHype.
K-a8s8OLBSE,Taylor Swift - cardigan,146 966 199 katselukertaa,4.35,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
uyupd2PXbSQ,Taylor Swift - Enchanted,13 581 692 katselukertaa,5.53,/@LatinHype.
tCXGJQYZ9JA,Taylor Swift - Delicate,518 073 458 katselukertaa,3.55,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
vv3um0BlygY,Enchanted,120 127 746 katselukertaa,5.53,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
Dkk9gvTmCXY,Taylor Swift - You Need To Calm Down,318 069 896 katselukertaa,3.31,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
_f4yoKJL7IQ,Taylor Swift - Hits Different,6 355 610 katselukertaa,3.56,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
b1kbLwvqugk,Taylor Swift - Anti-Hero (Official Music Video),160 102 205 katselukertaa,5.10,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
nAQ_1lTDvPQ,Taylor Swift - Blank Space (Lyrics),3 814 263 katselukertaa,3.52,/@vibemusic.
3RWuzuCz9Yc,Taylor Swift - august (Lyrics),1 350 075 katselukertaa,4.22,/@alternatemusic
ic8j13piAhQ,Taylor Swift - Cruel Summer (Official Audio),108 296 763 katselukertaa,3.00,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
5pQDQOUjdmU,Taylor Swift Playlist 2023 | Non-Stop Playlist,716 356 katselukertaa,1.25.01,/@RoseMarTV
VuNIsY6JdUw,Taylor Swift - You Belong With Me,1 492 177 205 katselukertaa,3.49,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
ir6kBupsIXY,Taylor Swift - Greatest Hits Full Album - Best Songs Collection 2023,1 052 215 katselukertaa,1.47.48,/@Bestsongscollection-fj3op
e-ORhEE9VVg,Taylor Swift - Blank Space,3 250 818 463 katselukertaa,4.33,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
