Video Id,Title,View Count,Length,Channel
SPEIVSsbGdc,Only Golden Crook Boss and Support Hardcore Roblox Tower Defense Simulator,1 735 katselukertaa,37.12,/@goondex
JkMqypWfiok,I Beat Every Map in Tower Defense Simulator Roblox,136 015 katselukertaa,24.13,/@propellars
6_OUZVDou1o,I Paid to Win as a Level 0 in TDS,385 339 katselukertaa,6.09,/@propellars
Vs34nMeZMt8,Testing TDS Coin-Grind Strategies,466 048 katselukertaa,4.51,/@propellars
MgdrKUyToU0,How I Beat EVERY Mode in Roblox Tower Defense Simulator,924 503 katselukertaa,16.14,/@propellars
W20Tz0G-SSY,i won TDS BADLANDS by myself.. | ROBLOX,1 096 530 katselukertaa,8.38,/@GDILIVES
HWKfTWgw1e8,The Best Early Game Towers in TDS,25 014 katselukertaa,8.05,/@CORSOBLOX
e5bnSlBCI4g,Only VIGILANTES Solo Triumph Fallen Mode Tower Roblox Tower Defense Simulator,155 827 katselukertaa,22.09,/@goondex
Ujf41ezYIvY,ОБЗОР ВСЕХ СЛИВОВ САМОГО КРУПНОГО ОБНОВЛЕНИЯ В ТДС | Tower Defense Simulator | Roblox TDS,10 680 katselukertaa,6.43,/@dimonbomba11
w-N6A7bDmZU,Event Teams in TDS,155 143 katselukertaa,4.33,/@propellars
0KSqalnxWFE,How I MAXED an accelerator on wave __ | TDS (Roblox),90 780 katselukertaa,20.35,/@EliteElite
k-ZaDVnoB40,New TDS Update Be Like.. (Part-4) (TDS Meme?..),2 380 katselukertaa,1.04,/@zambie1797
uYqvn7LsfWU,I Opened 100 TDS Crates,201 594 katselukertaa,4.59,/@propellars
4kSYPa0HuUA,Secret Tower Defense Simulator Leaks You Never See Before... | Roblox,3 341 katselukertaa,3.06,/@ItzSweaking
fp7SfCFm4uc,NEW TDS Pirate Update.. | ROBLOX,295 506 katselukertaa,8.05,/@GDILIVES
H3B-MiFk5XQ,I Used EVERY Tower in Roblox Tower Defense Simulator,969 737 katselukertaa,17.46,/@propellars
GF4GCpAnyw0,The Most Extreme Loadouts in TDS,298 509 katselukertaa,5.07,/@propellars
IPPPAqfEX8c,"Complete Beginners Guide to TDS! (Coins, Gems, EXP)",124 461 katselukertaa,6.14,/@CORSOBLOX
hd0wloYaANU,"Was ""Old TDS"" ACTUALLY Better?",240 396 katselukertaa,11.12,/@propellars
HF2w8ZZqcPM,How To Get Infinite Gems in TDS!,481 230 katselukertaa,2.47,/@propellars
