Video Id,Title,View Count,Length,Channel
dW2MmuA1nI4,Sean Paul - Temperature (Official Video),388 076 656 katselukertaa,3.37,/@atlanticrecords
ou0phHbzz-0,Dj Kantik - Teriyaki Boyz - Tokyo Drift & Sean Paul - Temperature (Remix),236 052 284 katselukertaa,3.51,/channel/UCyWTg-ph26EF_KQu8iq1Brw
Z_ztPk0ZJ04,Aapke wha kya temperature chal rha hai?🥵  #youtubeshorts #comedy #funny #funnyvideos #comedyvideo,156 996 717 katselukertaa,0.25,/@Ketanmehta555
1y5r0xQ_i3g,Sean Paul - Temperature ft.Pitbull (REMIX),73 363 870 katselukertaa,4.16,/channel/UCWs6GveNIm3ZSow9OA9o0Fw
XmXLhjMY5lA,Apki city mai kitna temperature hai?🥵🔥#summer #funny #comedy #koushalmonga,65 992 797 katselukertaa,0.25,/@koushalmonga
xLoAbDqOWcs,Belly Dancer x Temperature (TikTok Remix) dont be shy girl go bananza,43 240 564 katselukertaa,3.36,/@LatinHype.
cgr_RN-1kcc,Tyga - Temperature (Official Video),38 466 768 katselukertaa,3.59,/channel/UC-Eh1lR_tWVtv9AvxLybMtQ
W0g_9OGdH-o,Temperature,33 464 571 katselukertaa,3.39,/channel/UCkdc7gHpavxpgGalxKbgSHA
-horBQJoi-M,Tokyo Drift x Temperature x You Little Beauty (BENNE BOOM Mashup)- Sean Paul vs. FISHER,27 606 837 katselukertaa,2.33,/@BENNEBOOM
-TnUWKd6tB0,Sean Paul   Temperature   Lyrics on Screen!,26 958 212 katselukertaa,3.33,/@RequestExtraLive
k4TtUMQ0Mz4,The Queen's Guards try not to faint as temperatures soar,22 882 886 katselukertaa,1.56,/@CBSEveningNews
lUxPYIYBE58,Aapke city mein temperature kya chal raha hai?🥵 #youtubeshorts #comedy #funny #funnyvideos,20 281 120 katselukertaa,0.25,/@Ketanmehta555
1Y1eo4d6iLA,Sean Paul - Temperature (Cam Clark Bootleg) (bass boosted),18 976 488 katselukertaa,4.03,/@ShakyVibes
BZyOiKJ5SMw,#POV: You can choose between changing the temperature or changing the feeling,12 438 227 katselukertaa,0.56,/@amarachehade.
fZ33SIcFBCM,Tory Lanez - Temperature Rising (Official Music Video) *Edited by Tory Lanez,11 782 193 katselukertaa,2.14,/channel/UCbfUA3UGxAWL3muD004g0WQ
uW68XCr2tW0,Sean Paul - Temperature (Elliott Kay Remix),11 577 552 katselukertaa,3.06,/@STEREOHYPE
_GzLv4dL3iw,Party Time🥳 ~ Hindi lyrical meaning of song Temperature😂 #priyalkukreja #shorts #ytshorts,10 639 675 katselukertaa,0.15,/@Priyal_Kukreja
xfc05gKMtQI,"POV In a world of demons, everyone has a different body temperature…PT.5",10 033 871 katselukertaa,1.00,/@devincaherlyshorts
vACZmQckd2U,Temperatures Skyrocket As The Girls Get Pulses Rising | Love Island 2019,9 801 603 katselukertaa,5.17,/@LoveIsland
fKF7RV_ZGU8,"POV In a world of demons, everyone has a different body temperature…PT.3",9 178 951 katselukertaa,1.00,/@devincaherlyshorts
