Video Id,Title,View Count,Length,Channel
CevxZvSJLk8,Katy Perry - Roar,3 871 321 375 katselukertaa,4.30,/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
7wtfhZwyrcc,Imagine Dragons - Believer (Official Music Video),2 507 328 375 katselukertaa,3.37,/channel/UCT9zcQNlyht7fRlcjmflRSA
fKopy74weus,Imagine Dragons - Thunder,2 040 634 722 katselukertaa,3.25,/channel/UCT9zcQNlyht7fRlcjmflRSA
v2AC41dglnM,AC/DC - Thunderstruck (Official Video),1 331 727 257 katselukertaa,4.53,/channel/UCB0JSO6d5ysH2Mmqz5I9rIw
IPfJnp1guPc,Khalid - Young Dumb & Broke (Official Video),928 042 360 katselukertaa,4.08,/channel/UCkntT5Je5DDopF70YUsnuEQ
gOsM-DYAEhY,Imagine Dragons - Whatever It Takes (Official Music Video),902 959 137 katselukertaa,3.40,/channel/UCT9zcQNlyht7fRlcjmflRSA
gEPmA3USJdI,"AC/DC - Highway to Hell (Live At River Plate, December 2009)",600 055 757 katselukertaa,4.45,/channel/UCB0JSO6d5ysH2Mmqz5I9rIw
kg1BljLu9YY,"LSD - Thunderclouds (Official Video) ft. Sia, Diplo, Labrinth",510 717 415 katselukertaa,3.16,/channel/UCN9HPn2fq-NL8M5_kp4RWZQ
Kx7B-XvmFtE,Believer,478 702 853 katselukertaa,3.25,/channel/UCT9zcQNlyht7fRlcjmflRSA
9ssQKlLxBdQ,Thunder,372 219 976 katselukertaa,3.08,/channel/UCT9zcQNlyht7fRlcjmflRSA
EaswWiwMVs8,"Stray Kids ""소리꾼(Thunderous)"" M/V",323 709 616 katselukertaa,3.19,/@JYPEntertainment
9Kb_b3uC87k,Imagine Doggos - Thunder,313 678 001 katselukertaa,0.51,/@rapidliquid
n_GFN3a0yj0,"AC/DC - Thunderstruck (Live At River Plate, December 2009)",309 917 116 katselukertaa,5.21,/channel/UCB0JSO6d5ysH2Mmqz5I9rIw
uT3SBzmDxGk,2CELLOS - Thunderstruck [OFFICIAL VIDEO],259 616 068 katselukertaa,4.59,/channel/UCyjuFsbclXyntSRMBAILzbw
lhg9bYNLvOg,Thunderstruck,257 077 457 katselukertaa,4.53,/channel/UCB0JSO6d5ysH2Mmqz5I9rIw
FUQheX3PSnY,Imagine Dragons - Believer | One Voice Children's Choir | Kids Cover (Official Music Video),209 431 944 katselukertaa,3.28,/channel/UCRa07c47CSfHHC7DbXMgbuQ
mrZRURcb1cM,Fleetwood Mac - Dreams [with lyrics],199 244 890 katselukertaa,4.14,/@muzicchnl
e4Ao-iNPPUc,Thunderstruck by Steve'n'Seagulls (LIVE),164 104 184 katselukertaa,4.06,/channel/UCCmfZuv1KR-WpKt6s-FJPmQ
nDq6TstdEi8,"EPIC THUNDER & RAIN | Rainstorm Sounds For Relaxing, Focus or Sleep | White Noise 10 Hours",153 235 530 katselukertaa,10.00.00,/@RelaxingWhiteNoise
yMRoNNKWuqQ,THUNDER and RAIN Sounds for Sleeping BLACK SCREEN | Sleep and Relaxation | Dark Screen Nature Sounds,138 215 872 katselukertaa,10.02.01,/@SleepRelaxation
