Video Id,Title,View Count,Length,Channel
9IMLswlRlJM,Top 10 Things To Do In Timor Leste | Travel Video | SKY Travel,26 094 katselukertaa,2.14,/@Sky.Travel
QlfOqvLqfLc,Timor,274 526 katselukertaa,3.33,/channel/UCYLNGLIzMhRTi6ZOLjAPSmw
u8di29uJy0A,"Timor oriental, L’île mystérieuse | Les routes de l’impossible",1 227 266 katselukertaa,47.44,/@lesRoutesdelimpossible
_8eziWsY05U,TIMOR LESTE - NOBODY TRAVELS HERE!,81 513 katselukertaa,15.00,/@JanetNewenham
WqFDvdlC9TE,Timor-Leste - Country Life,31 975 katselukertaa,17.36,/@4ever2wherever
KMdEhU7WKOQ,"Daily life in Dili, Capital of Timor-Leste",644 700 katselukertaa,12.37,/@4ever2wherever
AkKX34GWWl0,Resistência - Timor (DVD Ao Vivo em Lisboa) (Official Video),446 052 katselukertaa,5.11,/@Vidisco
o9E5SF6jWcg,Timor Leste Travel Guide: 8 BEST Things To Do In Timor Leste (East Timor),2 585 katselukertaa,8.04,/@beforeyougotravel
LYvCylbg7Xw,I visited the LEAST known country in Asia - East Timor!,12 911 katselukertaa,9.15,/@TheKrazyKoala
yp8LW_Av4os,"Introducing from East Timor... Otopsy with a performance of his original song ""Oh My Goodness"".",177 887 katselukertaa,5.44,/@dublincitytoday
VLFag1sxj0U,First impressions of TIMOR LESTE 🇹🇱 Shocked on our first day in Dili 😮,47 538 katselukertaa,23.14,/@TheBackpacksters
a2IvKwDJVjk,East Timor independence: a short history of a long and brutal struggle,185 392 katselukertaa,4.13,/@GuardianAustralia
b4zrXLrj4Ow,How Did East Timor Get Its Name? #shorts,9 095 katselukertaa,0.36,/@NameExplain
vqWqMqAfQN4,East Timor,42 016 katselukertaa,4.13,/channel/UCE06PY5i3r95cXH7u89XOrA
qanw-1gL7aI,Timor-Leste: New Roads Bring New Opportunities for Farmers and Families,151 709 katselukertaa,1.50,/@WorldBank
wNNMD1sVoc8,How Australia Stole This Tiny Country's Oil,421 238 katselukertaa,12.51,/@PolyMatter
GDdsBAwyFuM,Timor (Live),31 673 katselukertaa,5.17,/channel/UCebwIFY-MRMvVRDMegfpW5g
oKVYZXIps4A,One man's quest for change in East Timor: Rambo Marabunta's revolution | Witness Documentary,69 955 katselukertaa,25.01,/@aljazeeraenglish
GsJMgOxDMEU,"TIMOR STEFFENS over MOEILIJKE JEUGD, OPGROEIEN ZONDER VADER, GESPREKKEN met MJ & CHRIS BROWN",20 970 katselukertaa,1.00.29,/@NandoLeaksOfficial
