Video Id,Title,View Count,Length,Channel
7BUeUKOq0n0,JANG GANGGU -_- SHINE OF BLACK (OFFICIAL MUSIC VIDEO),98 628 627 katselukertaa,4.00,/@shineofblackofficial
tdSJIHTioFs,M.A.C - Cuma Saya ( Official Music Video ),90 009 514 katselukertaa,5.23,/@musicanakcoment16
XTn0a3DH8Xw,SANZA SOLEMAN - KASIH SLOW x JAGA ORANG PU JODOH (Official Music Video),21 151 305 katselukertaa,4.21,/@sanzaonafan8519
4lCHfVAN4e8,Macepurba - Baju Hitam X D'Ari ( OFFICIAL MUSIC VIDEO),20 137 346 katselukertaa,3.12,/@macepurba3492
t2D99qu_oZc,SEDON LEWA PAPAN Original | Viral Tiktok | L. WURIN || LAGU Joget | Lagu Lamaholot NTT Terbaru.,16 923 492 katselukertaa,4.53,/@l.wurinchannel7788
mTBO1q1LqBo,20 Tahun Timor Leste: Cerita Setelah Merdeka | Mata Najwa,14 665 298 katselukertaa,36.30,/@NajwaShihab
_PN3F85yIIE,Massive Crocodile HATES my drone - shore diving Timor-Leste #shorts,13 739 486 katselukertaa,0.45,/@DanielMann
C7Bo-XGiKA4,Omcon SB - Barisan Mantan (Music Video),12 462 405 katselukertaa,3.26,/@RUMFARARUR
DEipy0C_OzI,Alvin83 X Do-Nal X Michael83 X Jeremy - TANIA (Official music video),11 885 376 katselukertaa,4.19,/@ALVIN-nn9bt
NYxAbhTZjgg,HALLO ADE NONA - Fresly Nikijuluw Feat. Bryso (Official Music Video),8 092 203 katselukertaa,4.11,/channel/UC9SJxGq2nCqEkfpS0grpOZw
Z_GBV5Csox4,LAGU TIMOR LESTE  | VANNY VABIOLA - KOALIA TOK MAI (COBA KATAKANLAH) | OFFICIAL MUSIC VIDEO,6 876 412 katselukertaa,5.47,/@VannyVabiolaOfficial
dG3BNF3WZqY,KUMPULAN LAGU TIMUR TERPOPULER 2022 || LAGU TIMUR FULL ALLBUM || VIRAL..! KAKA MAIN SALAH,6 826 775 katselukertaa,1.04.13,/@indonesiatimurmusic_
3AdiOGx-bFg,JOGET PESTA MAUMERE LAGU MIX TIMOR KEREN,6 207 898 katselukertaa,4.31,/@DavidShancez-DS
Z2yol516NZw,Tim Moore | Yes,5 296 618 katselukertaa,3.25,/@80Coiotes
xqegTsi6SiE,Honest Government Ad | Visit Timor-Leste! 🇹🇱,4 234 884 katselukertaa,2.46,/@thejuicemedia
JFU2XxvVTfY,FULL ALBUM LAGU TIMUR #KARNA ADA KO#SA RINDU KO#SIO ADO#KARNA SU SAYANG,4 009 598 katselukertaa,37.21,/@herasetiana7438
3IewPPs0_lI,"Lagu Lufut Timor ""Manu Tili Teo"" Terbaru 2021 Cipt.Okha Milanisty ( Official Music Video )",3 913 508 katselukertaa,4.12,/@SoeMusicProject
QTNECvRKS-0,ASMR Super strong massage and adjustments by super stong Mohammed,3 767 419 katselukertaa,44.22,/@timurdoctorovlive4602
bm_atkWct2c,ORANG NTT MANIS MANIS REMIX || LINE DANCE || CHOREO DENKA NDOLU || KUPANG NTT ||,3 282 885 katselukertaa,4.23,/@DENKANDOLU
3TNEBBqp4Wg,"KUMPULAN LAGU SANZA SOLEMAN, ONA HETHARUA Dan LAGU TIMUR TERPOPULER 2020 (Full Album)",2 938 723 katselukertaa,46.36,/@sanzaonafan8519
