Video Id,Title,View Count,Length,Channel
WFauRfXshAE,UMBERTO TOZZI - TU,61 289 063 katselukertaa,4.09,/@bobobelo
jhQ4WVJwz7w,maye - Tú (Official Music Video),19 951 592 katselukertaa,3.50,/channel/UCLX5gA6IJDBke45186KnIZg
ssMkC5JYbIE,DEVITO - TU TU TU (FEAT. BRESKVICA),40 958 584 katselukertaa,2.30,/channel/UCeBh3GXjo8tmjeQt_kHNocw
-vm0N9h1Fl4,Gianluca Capozzi - Tu - (Video Ufficiale),418 362 katselukertaa,3.09,/channel/UCgc3qfwgKpRqzR9ewEVJDLA
pnOP7wbPXqY,Tú,181 604 416 katselukertaa,3.15,/channel/UCBDxYeIKWDBL1mkX9HaIbuQ
kdeXZK5jrqw,Noelia - Tu,194 350 780 katselukertaa,4.42,/channel/UCthOJnSTy5sTJ4FgMJsxhRQ
VYFxeZQhe5Q,Manu Chao - Me Gustas Tu (Letra/Lyrics),5 764 744 katselukertaa,4.03,/@GodLyrics110
uuo9LBoBGb8,Keen’V – Tu mentais (feat. DJ Kawest) (Clip Officiel),3 620 038 katselukertaa,2.42,/channel/UCwy4hIknwz9GUNqISRwl8IQ
wTZ7A-h8yTs,Shakira - Tú (Official HD Video),87 951 354 katselukertaa,3.33,/channel/UCYLNGLIzMhRTi6ZOLjAPSmw
rs6Y4kZ8qtw,Manu Chao - Me Gustas Tu (Official Audio),266 671 990 katselukertaa,4.00,/channel/UCzGpxRavGnm6yym4Pt7B2sg
mbqJoI5xo8s,"LA NIÑA, Franco Ricciardi - TU",16 109 719 katselukertaa,3.20,/channel/UCHzf4k-zsvFi18RJO0ic-TA
2HwgXcPaFm8,Tú - Dariann González (Video Official),170 621 408 katselukertaa,5.32,/@DariannGonzalez
hbLJhdfSS1Q,Tu,4 224 859 katselukertaa,3.30,/channel/UCOFGfQ5BgY0-VCcoRSpNTaw
pVPEZX_RbyI,Oana Radu & Dr. Mako feat. Eli - Tu (Official Video),27 156 653 katselukertaa,3.43,/@CatMusic
7tb5O8HPCiE,Carin Leon - Tú (Live Vol. 1),416 111 359 katselukertaa,4.04,/@TAMARINDOREKORDSZ
bqszoG7edts,Grupo Firme  - Los Elegantes De Jerez - TU  (Video Oficial),120 119 645 katselukertaa,4.33,/channel/UCFlC8U0Uif2hF0FIgsSIIYQ
skvBEZW3CeI,Azaan Sami Khan - TU (Official Music Video) Ft. Mahira Khan I Hassan Dawar I Meghdeep Bose,8 169 020 katselukertaa,4.16,/@HUMTV
NNQaWy33Uss,Tu (Du),4 940 129 katselukertaa,5.00,/channel/UCkrJ-YG5HVtP5ExUVZenVqA
14DT91a-lmw,Tu - Marca MP (Video Letra),12 391 806 katselukertaa,2.34,/channel/UCI5wzNFTz32KefrbEWiKXwg
YCw_g3ObBXg,Lary Over - Tú (Official Music Video),18 438 641 katselukertaa,3.01,/channel/UCUbZ60eoAgNAiRG7hdPauWA
