Video Id,Title,View Count,Length,Channel
D9_ZPV8P-JI,"Planes On the Airport Were Unaware of Emergency Landing Of Boeing 747-8i , Pilot couldn't Land",66 484 894 katselukertaa,0.31,/@BSinAviation
H6u0VBqNBQ8,Tietoisuuden alkuperä - Kuinka tiedottomasta tuli tietoinen,16 529 293 katselukertaa,9.41,/@kurzgesagt
z4Hy6kp5kIs,Allen Stone - Unaware (Live From His Mother's Living Room),16 056 385 katselukertaa,5.32,/channel/UCdqKivCxipSewalutDMxJSQ
jRpXNXXyoPs,Street-racing suspects appear unaware camera was recording,15 243 049 katselukertaa,1.37,/@fox13tampa
5--2ZyRSSio,Phil is most unaware dad 😂 | #shorts #modernfamily,12 995 278 katselukertaa,1.00,/@SitcomDose
nJnhBBxhzZE,Students Are Unaware That The Security Guard is a Math Genius Who Escaped From North Korea,8 069 184 katselukertaa,15.27,/@movierecapsofficial
Sky4DmCOicA,leopard stalking prey is completely unaware that he is the hunted.,6 544 891 katselukertaa,2.01,/@MaasaiSightings
hqV-i_8Rdf0,"Little boy can’t afford bread, unaware his biological father owns a big bread factory #movie #fyp",5 490 097 katselukertaa,1.01,/@Bonku.Movies
c3_zZCa-Y_E,The Powerpuff Girls | Blissfully Unaware feat. Wengie  | Minisode,5 126 162 katselukertaa,2.01,/@cartoonnetworknz
syMpX5U4n8E,Luffy's unaware Conquerors Haki at Mrineford [HD] - *One Piece*,4 730 706 katselukertaa,2.33,/@Halyto
mNiBWqY2QDA,"The school bully tries to spank her cheeks, unaware that she's an undercover secret agent",3 778 435 katselukertaa,16.10,/@USRecap
P3MxnvjQ_Kk,"Thugs harassing a young woman, unaware that her father is a lethal CIA agent",3 680 863 katselukertaa,11.45,/@USRecap
KbTSyGQg6Gg,A Cute Punk Girl Was Unaware Of My Identity At School,2 522 473 katselukertaa,13.30,/@MangaRoomEN
XAd1kyFGvyQ,#pov you are unaware that you are dating one of the most dangerous assassins #shorts #tiktok #acting,2 280 914 katselukertaa,0.14,/@ValerieLepelch
g2K18JkroFs,ANNISOKAY - Unaware (OFFICIAL VIDEO),2 245 781 katselukertaa,3.59,/@ArisingEmpire
XapEBO6dj64,These bullies were completely unaware that the new transfer student was a brutal fighter,2 077 546 katselukertaa,15.15,/@USRecap
iw2eBd8T69A,School Thugs Are Unaware Their New History Teacher is an Undercover Agent,2 023 548 katselukertaa,14.01,/@movierecapsofficial
_jf9X3McSS8,"20 IQ Man is Forced to Raise a Child Alone, Unaware She's a Hidden Genius",2 006 374 katselukertaa,15.22,/@recaplovers3501
QHtwihrUiKE,แมค - Unaware - Blind Auditions - The Voice Thailand 2019 - 23 Sep 2019,1 880 197 katselukertaa,6.19,/@TheVoiceThailand
kWOGtJsCzDo,"Cruel woman dumps disabled dog, but is unaware that her horrible actions are caught on camera",1 735 865 katselukertaa,3.11,/@We_Love_Animals
