Video Id,Title,View Count,Length,Channel
zF5Ddo9JdpY,Awaken | Season 2019 Cinematic - League of Legends (ft. Valerie Broussard),119 695 315 katselukertaa,3.29,/@leagueoflegends
RvE7sRydm5I,Ray William Johnson roasting me 😭☠️ #shorts #tiktok #acting,57 057 595 katselukertaa,0.57,/@ValerieLepelch
Fqfja0vj76s,"Kygo, Valerie Broussard - Think About You (Official Video)",55 958 134 katselukertaa,4.35,/channel/UCCFJeI-2sT_cWgz-QJRgbCw
C9QuAUKEXy0,The Weeknd - Valerie (Vladish Edit),46 604 457 katselukertaa,6.00,/channel/UC8RPWeOFciGex4eoFN6Hl-g
WjMBgdawTVM,"""J'aime ta présence"" - CHANTRE GRACE VALERIE",46 419 340 katselukertaa,7.00,/channel/UCOffDMqWiiPHW4FgnMjsfkQ
FiHXBVmmoYw,"KEEN'V  "" J'aimerais Trop "" (feat. SAP)  - Clip Officiel",43 283 430 katselukertaa,4.21,/channel/UCwy4hIknwz9GUNqISRwl8IQ
evQvxKPxuk0,#pov she never sweats #shorts #acting #tiktok #shorts30,37 888 061 katselukertaa,0.44,/@ValerieLepelch
gSFZC6fklK8,#pov my boyfriend overhears me… #shorts #acting #tiktok #youtubeshorts ￼,36 167 646 katselukertaa,0.24,/@ValerieLepelch
k9olaIio3l8,Steve Winwood - Higher Love (Official Music Video),34 612 607 katselukertaa,4.14,/channel/UCiJrzjCE1JpWpi2f-_TZUVw
hjwHC3ImU5g,#pov a creepy guy won’t leave you alone so…. #shorts #tiktok #acting,34 331 657 katselukertaa,0.12,/@ValerieLepelch
vfTHe64HQB0,Amy Winehouse - Valerie Lyrics,33 107 934 katselukertaa,3.45,/@franziamljb
namFjcOgHSE,Amy Winehouse - Valerie - Live HD,32 154 580 katselukertaa,3.31,/@PabloAguiar1
ifLFJpVBc_M,#pov your group of gamer friends finally do a face reveal #shorts #tiktok #acting,30 913 593 katselukertaa,0.53,/@ValerieLepelch
rkccrfKeO20,#pov the popular girl who never pays attention is actually smart #shorts #acting #tiktok,30 617 588 katselukertaa,0.44,/@ValerieLepelch
N2LWT_zw95Q,#pov you give the nerd a chance so she decides to surprise you,29 290 238 katselukertaa,0.31,/@ValerieLepelch
QpR8_Onc9ho,Awaken,29 217 723 katselukertaa,3.19,/channel/UCa0geghnziLzUqeXSeYeREw
lqSKVv6YO8g,The DL - Amy Winehouse 'Valerie' Live,27 007 000 katselukertaa,3.36,/@TheDLShow
EdAbpLKqmuY,Glee-I've Had The Time Of My Life & Valerie (Sectionals Season 2),22 421 209 katselukertaa,4.57,/@AnskyLun
ZO8frxrMd8Q,Talk about being humbled #shorts #tiktok,22 333 529 katselukertaa,0.20,/@ValerieLepelch
bixuI_GV5I0,Mark Ronson ft. Amy Winehouse - Valerie (Official Video),21 443 146 katselukertaa,4.41,/channel/UCSY5V7BJSrxNvvBF0Drslow
