Video Id,Title,View Count,Length,Channel
hsm4poTWjMs,Cardi B - WAP feat. Megan Thee Stallion [Official Music Video],511 439 723 katselukertaa,4.13,/channel/UCxMAbVFmxKUVGAll0WVGpFw
Wc5IbN4xw70,Cardi B - WAP feat. Megan Thee Stallion [Official Audio],311 345 554 katselukertaa,3.08,/channel/UCxMAbVFmxKUVGAll0WVGpFw
-GAIe9DNFcc,Cardi B - WAP (Lyrics) feat. Megan Thee Stallion,167 929 964 katselukertaa,3.06,/@7clouds
ohD6cyB8RI4,Cardi B - WAP feat. Megan Thee Stallion [Official Lyric Video],20 015 008 katselukertaa,3.08,/channel/UCxMAbVFmxKUVGAll0WVGpFw
kKUxFvcJ9_c,Wap - Cardi B /With Lyric/ 🏆,9 957 katselukertaa,9.44,/@SantiagoSanchez-bh8ug
dmZlUdXVpHA,Cardi B & Megan Thee Stallion - WAP [Explicit] (Music Video),1 541 051 katselukertaa,3.08,/channel/UClwcDO1G2hEWWSUElf7Blrg
toiCBM_VKYI,Afroman - H.A.D. (WAP REMIX) (OFFICIAL MUSIC VIDEO),35 666 katselukertaa,3.06,/channel/UCOMyvChDhKil0KvJoIHyx6Q
VKyqSraIVng,WAP Dance Challenge - Tiktok Compilation,212 287 katselukertaa,6.30,/@tiktokcompilations6516
NKh26pAhn3A,Cardi B - The Making of 'WAP' | Vevo Footnotes ft. Megan Thee Stallion,9 357 445 katselukertaa,4.15,/channel/UCxMAbVFmxKUVGAll0WVGpFw
jelgdpCXlec,Cardi B - WAP feat. Megan Thee Stallion [Radio Edit],11 970 549 katselukertaa,3.08,/channel/UCxMAbVFmxKUVGAll0WVGpFw
LP3PTt8qcqQ,"WAP (feat. Megan Thee Stallion) - Megan Thee Stallion, Cardi B (Lyrics|Mix)",83 214 katselukertaa,17.01,/@radarrelaxing33
Hmee2zK6lpM,Vietsub | WAP - Cardi B ft. Megan Thee Stallion | Lyrics Video (E),3 781 831 katselukertaa,3.09,/@VietsubMoiNgay
llxG92xwR2g,"Cardi B - Wap (Lyrics) ft Megan Thee Stallion | One Direction, Miley Cyrus, Rihanna ...",381 641 katselukertaa,14.47,/@sunshine14002
DqePOzTIILY,Cardi B - WAP (Lyrics) ft. Megan Thee Stallion,490 256 katselukertaa,3.09,/@uproxx
U9FM49Tzhn4,"Ben Shapiro Reacts to ""WAP"" by Cardi B!",3 378 565 katselukertaa,9.00,/@BenShapiro
TQUJk9MUHfY,Cardi B - WAP feat. Megan Thee Stallion | Caleb Marshall | Dance Workout,3 082 275 katselukertaa,3.14,/@TheFitnessMarshall
njZifB8JNWk,Wap - Cardi B [Sped up+reverb],1 943 200 katselukertaa,2.30,/@miliexdz
lI6hVmKmIcU,WAP - Cardi B ft. Megan Thee Stallion ( Lyrics /Vietsub),11 328 katselukertaa,3.11,/@JinLyrics
kHKQC-k3hXU,WAP (metal cover by Leo Moracchioli),4 495 503 katselukertaa,5.20,/@leolego
yV8zZJVmB6k,Billie Eilish WAP 😳😱🤯,1 696 757 katselukertaa,0.12,/@TheConcertChannel1
