Video Id,Title,View Count,Length,Channel
yNncHPl1UXg,Zodiac (2007) Trailer #1 | Movieclips Classic Trailers,3 188 705 katselukertaa,2.24,/@RottenTomatoesCLASSICTRAILERS
Nm9Cy4CZyz0,XODIAC 소디엑 ‘LEMONADE' Official MV,1 036 543 katselukertaa,3.12,/channel/UCfTntoruxOf15yE-bg4odcQ
Zl7nxj39gmE,"Zodiac,  Disco Alliance 1980 (vinyl record)",118 250 katselukertaa,27.53,/@vinylrecord4106
XaSRDfhz0bM,Zodiac 2007 (ENG) full movie,9 727 katselukertaa,2.42.37,/@eatingmovies
PPDORMJN4vs,Zodiac: They know who the killer is but they can't prove it (HD CLIP),115 465 katselukertaa,3.57,/@bingesociety
53f2hPi4Epk,Zodiac signs tiktok that are 100% relatable ♈♋♍♎ | Zodiac tiktoks ♏♐♉,8 503 katselukertaa,10.16,/@zodiactiktoks3825
T0RxxiG_-_Y,Zodiac: Zodiac suspect (HD CLIP),293 597 katselukertaa,4.03,/@bingesociety
BRMM0qsK3JU,Zodiac signs tiktok that are 100% relatable ♈♋♍♎ | Zodiac tiktoks ♏♐♉,421 538 katselukertaa,14.11,/@zodiactiktoks3825
dJ0oNfjzx4k,Zodiac - trailer,201 809 katselukertaa,2.31,/@FilmTeaser
QqMWQZS5Q8E,"Zodiac Killer, explained.",669 915 katselukertaa,38.31,/@unpred.ictable
1t7qpDNU4RM,This Is The Zodiac Speaking - 2007 Documentary,280 576 katselukertaa,1.41.10,/@zodiackillerdocumentaries9079
XGziozloOrs,LEAST FAVORITE ZODIAC SIGNS #shorts #zodiacsigns #zodiac #publicinterview #comedyshorts,52 062 katselukertaa,0.56,/@LouisLevanti_
W1ixKzdbXy0,Who the Zodiac most likely is (documentary),336 267 katselukertaa,42.29,/@BadThingsTrueCrime
bsKEjhzsomY,FBI Confirms Zodiac Killer Cypher Has Been Cracked And More Crazy Criminal Stories - Compilation,326 112 katselukertaa,4.00.11,/@TheInfographicsShow
bEvnwKFUnI0,Zodiac Trailer,1 710 353 katselukertaa,2.31,/@Slave2Placebo
IMsKW0uwaIg,Fears of Zodiac Signs #shorts by Astroscope,246 133 katselukertaa,1.00,/@astroscopeapp
HCQK_y8JutU,[Showcase] Zodiac (Extreme Demon) by Bianox & More,4 201 455 katselukertaa,5.31,/@xander556
0IoU5aq0tXY,Agents Of Time  - Zodiac [TM01],264 867 katselukertaa,5.43,/channel/UCXlBVy4FltiDRCqO84CJ4PQ
ghGBqGigGvE,The Zodiac Killer's Identity is Finally Revealed,2 004 062 katselukertaa,11.04,/@TheInfographicsShow
eRQEUdpuQwM,Zodiac (2007) Ending,1 720 106 katselukertaa,4.54,/@austinantonio9687
